"Quantidade de alunos ativos em 2024, por curso.",,,
Estão incluídos os alunos que tiveram vínculo em algum momento de um ou dos dois semestres do ano sendo consultado. O vínculo não implica necessariamente ter feito matrícula.,,,
Cód.,EMEC,Curso,Alunos ativos
13301100,13434,ADMINISTRAÇÃO - D,293
13301200,13434,ADMINISTRAÇÃO - N,190
31301200,118546,ADMINISTRAÇÃO - N,202
91402100,99800,AGRONOMIA - D,218
15101100,1129147,ARQUITETURA E URBANISMO - D,218
13317100,21164,ARTE E MÍDIA - D,169
14102100,13446,CIÊNCIA DA COMPUTAÇÃO - D,931
41201110,99802,CIÊNCIAS BIOLÓGICAS (LIC) - D,125
51201110,99804,CIÊNCIAS BIOLÓGICAS (LIC) - D,127
21201110,1152882,CIÊNCIAS BIOLÓGICAS (LIC) - M,151
41201210,99802,CIÊNCIAS BIOLÓGICAS (LIC) - N,187
51201210,99804,CIÊNCIAS BIOLÓGICAS (LIC) - N,153
31360200,79567,CIÊNCIAS CONTÁBEIS - N,229
13304100,13451,CIÊNCIAS ECONÔMICAS - M,120
13304200,13451,CIÊNCIAS ECONÔMICAS - N,146
13305150,313436,CIÊNCIAS SOCIAIS (BAC) - D,81
13305210,13436,CIÊNCIAS SOCIAIS (LIC) - N,137
71305210,1106595,CIÊNCIAS SOCIAIS (LIC) - N,119
13306100,1149786,COMUNICAÇÃO SOCIAL - D,124
13306200,1149786,COMUNICAÇÃO SOCIAL - N,146
11104120,13447,DESIGN - D,263
31350100,13433,DIREITO - M,300
31350200,13433,DIREITO - N,340
31350300,13433,DIREITO - V,272
12204100,1134328,ENFERMAGEM - D,277
21204100,79572,ENFERMAGEM - D,314
51204100,107492,ENFERMAGEM - D,273
71132100,1106561,ENG. DE BIOTECNOLOGIA E BIOPROCESSOS - D,62
15121100,13440,ENGENHARIA AGRÍCOLA - D,135
91130100,112282,ENGENHARIA AMBIENTAL - D,86
15122100,13439,ENGENHARIA CIVIL - D,544
91122100,1280408,ENGENHARIA CIVIL - D,257
15125100,118550,ENGENHARIA DE ALIMENTOS - D,117
91125100,112294,ENGENHARIA DE ALIMENTOS - D,108
71131100,1106562,ENGENHARIA DE BIOSSISTEMAS - D,48
11126100,13445,ENGENHARIA DE MATERIAIS - D,135
15127100,13444,ENGENHARIA DE MINAS - D,125
11135100,118562,ENGENHARIA DE PETRÓLEO - D,98
11133100,79570,ENGENHARIA DE PRODUÇÃO - D,145
71133100,1106578,ENGENHARIA DE PRODUÇÃO - D,94
14123100,13438,ENGENHARIA ELÉTRICA,897
41403100,13456,ENGENHARIA FLORESTAL - D,84
11124100,13442,ENGENHARIA MECÂNICA - D,331
11128100,13441,ENGENHARIA QUÍMICA - D,192
11134100,1120733,ESTATÍSTICA - D,39
51203100,107495,FARMÁCIA - D,382
13314250,121366,FILOSOFIA (BAC) - N,38
13314210,121367,FILOSOFIA (LIC) - N,69
11105150,318388,FÍSICA (BAC) - D,52
11105110,1204358,FÍSICA (LIC) - D,53
51105110,99810,FÍSICA (LIC) - D,64
21105210,1152879,FÍSICA (LIC) - N,122
51105210,99810,FÍSICA (LIC) - N,94
13316110,120777,GEOGRAFIA (LIC) - M,136
13316210,120777,GEOGRAFIA (LIC) - N,128
21316110,13407,GEOGRAFIA (LICENCIATURA) - M,179
21316210,13407,GEOGRAFIA (LICENCIATURA) - N,163
13309110,13449,HISTÓRIA (LIC) - D,152
21309110,13405,HISTÓRIA (LIC) - M,199
13309210,13449,HISTÓRIA (LIC) - N,155
21309210,13405,HISTÓRIA (LIC) - N,242
71315110,1106596,INTERDISCIPLINAR EM EDUC. DO CAMPO(LIC)D,100
13310214,43962,LETRAS - ESPANHOL (LICENCIATURA) N,82
13323110,1364560,LETRAS - LIBRAS (LIC) - D,86
13310115,1158117,LETRAS - LÍNG.PORT./LÍNG.FRANC.(LIC)-D,57
13310116,1158907,LETRAS - LÍNGUA INGLESA (LIC) - D,91
21310116,1162185,LETRAS - LÍNGUA INGLESA (LIC) - D,93
21310110,1160083,LETRAS - LÍNGUA PORTUGUESA (LIC) - M,92
13310210,1158116,LETRAS - LÍNGUA PORTUGUESA (LIC) - N,131
21310210,1160083,LETRAS - LÍNGUA PORTUGUESA (LIC) - N,167
13310110,1158116,LETRAS- LÍNGUA PORTUGUESA (LIC) - D,126
13345110,1184381,LICENCIATURA INTERCULTURAL INDÍGENA - D,13
11107150,313448,MATEMÁTICA (BAC) - D,20
11107110,13448,MATEMÁTICA (LIC) - D,69
21107110,1152880,MATEMÁTICA (LIC) - D,121
51107110,99806,MATEMÁTICA (LIC) - D,87
11107210,13448,MATEMÁTICA (LIC) - N,79
51107210,99806,MATEMÁTICA (LIC) - N,113
12205100,13453,MEDICINA,605
21205100,1101742,MEDICINA,196
41410100,13437,MEDICINA VETERINÁRIA - D,460
15108100,13435,METEOROLOGIA - D,47
13311150,118632,MÚSICA (BAC) - D,45
13311110,118630,MÚSICA (LIC) - D,64
51206100,118910,NUTRIÇÃO - D,312
41207100,122676,ODONTOLOGIA - D,412
13312110,13452,PEDAGOGIA (LIC) - M,124
13312210,13452,PEDAGOGIA (LIC) - N,125
21312110,13410,PEDAGOGIA (LICENCIATURA) - M,196
21312210,13410,PEDAGOGIA (LICENCIATURA) - N,230
12208100,1108087,PSICOLOGIA - D,440
12208200,1108087,PSICOLOGIA - N,1
51109110,99808,QUÍMICA (LIC) - D,65
21109210,1152881,QUÍMICA (LIC) - N,138
51109210,99808,QUÍMICA (LIC) - N,92
31340100,1117877,SERVIÇO SOCIAL - M,143
71420100,1150096,TECNOLOGIA EM AGROECOLOGIA - D,42
71318200,1135705,TECNOLOGIA EM GESTÃO PÚBLICA - N,107
