Dados do período 2022.1,,,,,
Centro,Campus,Alunos Matriculados,Professores,Ingressantes,Graduados
CCT - CENTRO DE CIÊNCIAS E TECNOLOGIA,Campina Grande,1328,236,354,59
CCBS - CENTRO DE CIÊNCIAS BIOLÓGICAS E DA SAÚDE,Campina Grande,1107,154,120,55
CH - CENTRO DE HUMANIDADES,Campina Grande,2239,254,410,143
CEEI - CENTRO DE ENGENHARIA ELÉTRICA E INFORMÁTICA,Campina Grande,1551,155,190,92
CTRN - CENTRO DE TECNOLOGIA E RECURSOS NATURAIS,Campina Grande,1009,190,200,62
CFP - CENTRO DE FORMAÇÃO DE PROFESSORES,Cajazeiras,2113,184,419,108
CCJS - CENTRO DE CIÊNCIAS JURÍDICAS E SOCIAIS,Sousa,1347,75,314,131
CSTR - CENTRO DE SAÚDE E TECNOLOGIA RURAL,Patos,1164,120,144,95
CES - CENTRO DE EDUCAÇÃO E SAÚDE,Cuité,1671,125,319,126
CDSA - CENTRO DE DESENVOLVIMENTO SUSTENTÁVEL DO SEMI-ÁRIDO,Sumé,677,84,176,51
CCTA - CENTRO DE CIÊNCIAS E TECNOLOGIA AGROALIMENTAR,Pombal,733,76,107,46
