Dados do período 2022.1,,,,,,,,
Curso,,Campus,Alunos Matriculados,Professores,Ingressantes,Graduados,Disciplinas Ofertadas,Aprovação (%)
13301100,ADMINISTRAÇÃO - D,Campina Grande,230,39,40,24,51,77.3
13301200,ADMINISTRAÇÃO - N,Campina Grande,104,31,0,4,42,73.16
15101100,ARQUITETURA E URBANISMO - D,Campina Grande,163,25,0,20,32,92.1
13317100,ARTE E MÍDIA - D,Campina Grande,94,15,0,2,35,84.51
14102100,CIÊNCIA DA COMPUTAÇÃO - D,Campina Grande,785,55,89,58,61,79.74
13304100,CIÊNCIAS ECONÔMICAS - M,Campina Grande,136,28,46,13,52,64.72
13304200,CIÊNCIAS ECONÔMICAS - N,Campina Grande,98,27,1,5,48,58.16
13305150,CIÊNCIAS SOCIAIS (BAC) - D,Campina Grande,68,25,26,3,35,65.1
13305210,CIÊNCIAS SOCIAIS (LIC) - N,Campina Grande,88,34,3,1,47,72.16
13306100,COMUNICAÇÃO SOCIAL - D,Campina Grande,76,11,2,6,22,73.98
13306200,COMUNICAÇÃO SOCIAL - N,Campina Grande,90,12,7,8,19,62.94
11104120,DESIGN - D,Campina Grande,171,19,31,7,42,84.42
12204100,ENFERMAGEM - D,Campina Grande,201,46,27,1,62,85.41
15121100,ENGENHARIA AGRÍCOLA - D,Campina Grande,124,50,42,9,79,60.28
15122100,ENGENHARIA CIVIL - D,Campina Grande,460,83,65,20,70,69.21
15125100,ENGENHARIA DE ALIMENTOS - D,Campina Grande,113,53,40,7,50,53.67
11126100,ENGENHARIA DE MATERIAIS - D,Campina Grande,146,73,54,5,54,53.27
15127100,ENGENHARIA DE MINAS - D,Campina Grande,101,45,40,4,51,57.7
11135100,ENGENHARIA DE PETRÓLEO - D,Campina Grande,119,52,35,3,48,50.95
11133100,ENGENHARIA DE PRODUÇÃO - D,Campina Grande,149,54,35,19,52,67.87
14123100,ENGENHARIA ELÉTRICA,Campina Grande,766,109,101,34,108,68.84
11124100,ENGENHARIA MECÂNICA - D,Campina Grande,266,66,39,10,74,66.39
Curso,,Campus,Alunos Matriculados,Professores,Ingressantes,Graduados,Disciplinas Ofertadas,Aprovação (%)
11128100,ENGENHARIA QUÍMICA - D,Campina Grande,185,53,52,6,57,62.4
11134100,ESTATÍSTICA - D,Campina Grande,53,24,22,0,28,46.92
13314250,FILOSOFIA (BAC) - N,Campina Grande,41,9,19,0,20,49.71
13314210,FILOSOFIA (LIC) - N,Campina Grande,59,13,20,1,29,60.87
11105150,FÍSICA (BAC) - D,Campina Grande,42,41,17,1,35,58.64
11105110,FÍSICA (LIC) - D,Campina Grande,48,49,15,3,41,61.47
13316110,GEOGRAFIA (LIC) - M,Campina Grande,108,18,39,8,38,81.71
13316210,GEOGRAFIA (LIC) - N,Campina Grande,116,16,42,2,39,77.76
13309110,HISTÓRIA (LIC) - D,Campina Grande,136,31,40,13,53,79.43
13309210,HISTÓRIA (LIC) - N,Campina Grande,91,33,0,7,56,76.82
13310214,LETRAS - ESPANHOL (LICENCIATURA) N,Campina Grande,50,8,1,2,17,66.01
13323110,LETRAS - LIBRAS (LIC) - D,Campina Grande,78,13,11,3,26,75.74
