Dados do período 2019.1,,,,,,
Unidade Acadêmica,,Campus,Alunos Matriculados,Professores,Carga Horária Ofertada,Matrículas Efetivas
13010000,ADMINISTRAÇÃO E CONTABILIDADE,Campina Grande,670,26,4500,1584
13020000,ARTES,Campina Grande,301,24,4770,1267
15010000,CIÊNCIAS ATMOSFÉRICAS,Campina Grande,61,12,1170,108
12020000,CIÊNCIAS MÉDICAS,Campina Grande,514,110,12900,2707
13050000,CIÊNCIAS SOCIAIS,Campina Grande,981,46,6705,1729
11120000,DESIGN,Campina Grande,164,18,2280,777
13030000,ECONOMIA E FINANCAS,Campina Grande,525,19,3090,904
13040000,EDUCAÇÃO,Campina Grande,579,35,5535,1484
12010000,ENFERMAGEM,Campina Grande,167,44,5715,1067
15020000,ENGENHARIA AGRÍCOLA,Campina Grande,121,26,2925,436
15030000,ENGENHARIA CIVIL,Campina Grande,869,43,5820,2399
15040000,ENGENHARIA DE ALIMENTOS,Campina Grande,99,13,1500,227
11060000,ENGENHARIA DE MATERIAIS,Campina Grande,252,17,1680,387
11110000,ENGENHARIA DE PETRÓLEO,Campina Grande,124,9,1290,257
11130000,ENGENHARIA DE PRODUÇÃO,Campina Grande,661,18,2610,763
14040000,ENGENHARIA ELÉTRICA,Campina Grande,718,52,7650,2570
11050000,ENGENHARIA MECÂNICA,Campina Grande,299,26,3525,942
11070000,ENGENHARIA QUÍMICA,Campina Grande,617,33,4590,1263
11140000,ESTATÍSTICA,Campina Grande,748,14,2430,817
11080000,FÍSICA,Campina Grande,1300,31,5175,1854
13080000,GEOGRAFIA,Campina Grande,308,13,2760,1142
13060000,HISTÓRIA,Campina Grande,328,19,2640,971
13070000,LETRAS,Campina Grande,1091,57,9780,2430
11090000,MATEMÁTICA,Campina Grande,1980,34,5415,3270
19010000,MATEMÁTICA (PARFOR),Campina Grande,10,5,300,37
15100000,MINERAÇÃO E GEOLOGIA,Campina Grande,247,17,2160,438
13090000,MÚSICA,Campina Grande,99,14,3150,522
12050000,PSICOLOGIA,Campina Grande,306,29,7935,1763
14110000,SISTEMAS E COMPUTAÇÃO,Campina Grande,1472,38,6570,3710
21050000,CIÊNCIAS DA VIDA,Cajazeiras,355,62,7215,1093
21020000,CIÊNCIAS EXATAS E DA NATUREZA,Cajazeiras,498,33,5550,1534
21010000,CIÊNCIAS SOCIAIS,Cajazeiras,582,17,2970,1571
21030000,EDUCAÇÃO,Cajazeiras,874,29,4560,1981
21060000,ENFERMAGEM,Cajazeiras,251,30,3150,945
Unidade Acadêmica,,Campus,Alunos Matriculados,Professores,Carga Horária Ofertada,Matrículas Efetivas
21070000,GEOGRAFIA,Cajazeiras,239,15,2730,832
21040000,LETRAS,Cajazeiras,714,22,4440,1555
31030000,CIÊNCIAS CONTÁBEIS,Sousa,435,27,3510,1993
31010000,DIREITO,Sousa,1047,59,9735,6385
41050000,CIÊNCIAS BIOLÓGICAS,Patos,336,27,3300,1351
41020000,ENGENHARIA FLORESTAL,Patos,148,29,3585,774
41010000,MEDICINA VETERINÁRIA,Patos,439,45,6075,2737
41060000,ODONTOLOGIA,Patos,392,37,4020,2075
51040000,BIOLOGIA E QUÍMICA,Cuité,1014,33,5970,2566
51030000,ENFERMAGEM,Cuité,233,26,6105,1236
51010000,FÍSICA E MATEMÁTICA,Cuité,850,35,6375,1867
51020000,SAÚDE,Cuité,813,43,10770,4086
71050000,CIÊNCIAS SOCIAIS,Sumé,359,10,1665,765
71010000,EDUCAÇÃO DO CAMPO,Sumé,354,23,3915,946
71030000,ENGENHARIA DE BIOTECNOLOGIA E BIOPROCESSOS,Sumé,269,12,2160,713
71040000,ENGENHARIA DE PRODUÇÃO,Sumé,254,13,2040,759
71060000,GESTÃO PÚBLICA,Sumé,190,9,1200,622
71020000,TECNOLOGIA DO DESENVOLVIMENTO,Sumé,432,26,3840,1349
91010000,AGRONOMIA E TECNOLOGIA DE ALIMENTO,Pombal,959,76,14595,5275
