Quantidade de graduados de 2013 por curso e período,,,
Curso \ Período,2013.1,2013.2,Total curso
11104120 - DESIGN - D,6,14,20
11105150 - FÍSICA (BAC) - D,0,2,2
11107110 - MATEMÁTICA (LIC) - D,1,2,3
11107150 - MATEMÁTICA (BAC) - D,1,2,3
11107210 - MATEMÁTICA (LIC) - N,3,5,8
11124100 - ENGENHARIA MECÂNICA - D,9,12,21
11126100 - ENGENHARIA DE MATERIAIS - D,16,8,24
11128100 - ENGENHARIA QUÍMICA - D,4,13,17
11133100 - ENGENHARIA DE PRODUÇÃO - D,8,14,22
11134100 - ESTATÍSTICA - D,0,2,2
11135100 - ENGENHARIA DE PETRÓLEO - D,0,3,3
12204100 - ENFERMAGEM - D,0,23,23
12205100 - MEDICINA,43,47,90
13301100 - ADMINISTRAÇÃO - D,30,19,49
13301200 - ADMINISTRAÇÃO - N,16,11,27
13304100 - CIÊNCIAS ECONÔMICAS - M,11,10,21
13304200 - CIÊNCIAS ECONÔMICAS - N,8,4,12
13305110 - CIÊNCIAS SOCIAIS (LIC) - D,6,3,9
13305150 - CIÊNCIAS SOCIAIS (BAC) - D,1,2,3
13305210 - CIÊNCIAS SOCIAIS (LIC) - N,1,4,5
13305250 - CIÊNCIAS SOCIAIS (BAC) - N,5,2,7
13306100 - COMUNICAÇÃO SOCIAL - D,0,4,4
13309110 - HISTÓRIA (LIC) - D,2,1,3
13309150 - HISTÓRIA (BAC) - M,1,3,4
13309210 - HISTÓRIA (LIC) - N,5,9,14
13309250 - HISTÓRIA (BAC) - N,5,4,9
13310111 - LETRAS - LÍNGUA E LIT. PORTUGUESA - D,9,5,14
13310112 - LETRAS - LÍNGUA E LIT. FRANCESA - D,0,1,1
13310113 - LETRAS - LÍNGUA E LIT. INGLESA - D,1,4,5
13310211 - LETRAS - LÍNGUA E LIT. PORTUGUESA - N,5,7,12
13311110 - MÚSICA (LIC) - D,1,0,1
13311150 - MÚSICA (BAC) - D,5,0,5
13312110 - PEDAGOGIA (LIC) - M,16,19,35
13312210 - PEDAGOGIA (LIC) - N,18,4,22
13314250 - FILOSOFIA (BAC) - N,0,4,4
13316110 - GEOGRAFIA (LIC) - M,0,11,11
13316210 - GEOGRAFIA (LIC) - N,0,20,20
13317100 - ARTE E MÍDIA - D,4,4,8
14102100 - CIÊNCIA DA COMPUTAÇÃO - D,27,15,42
14123110 - ENGENHARIA ELÉTRICA (ELETRÔNICA) - D,3,3,6
14123111 - ENGENHARIA ELÉTRICA (ELETROTÉCNICA) - D,15,23,38
14123112 - ENGENHARIA ELÉTRICA (TELECOMUNICAÇÕES) -,1,1,2
14123113 - ENGENHARIA ELÉTRICA(CONTROLE E AUTOMAÇÃO,11,11,22
15108100 - METEOROLOGIA - D,2,1,3
15121100 - ENGENHARIA AGRÍCOLA - D,4,4,8
15122100 - ENGENHARIA CIVIL - D,32,24,56
15127100 - ENGENHARIA DE MINAS - D,4,4,8
21103112 - CIÊNCIAS - MATEMÁTICA (LIC) - M,2,9,11
21103113 - CIÊNCIAS - BIOLOGIA (LIC) - M,3,5,8
21103115 - CIÊNCIAS - QUÍMICA (LIC) - M,1,3,4
Curso \ Período,2013.1,2013.2,Total curso
21103212 - CIÊNCIAS - MATEMÁTICA (LIC) - N,5,5,10
21103213 - CIÊNCIAS - BIOLOGIA (LIC) - N,0,5,5
21103215 - CIÊNCIAS - QUÍMICA (LIC) - N,3,0,3
21204100 - ENFERMAGEM - D,33,35,68
21205100 - MEDICINA,8,34,42
21309110 - HISTÓRIA (LIC) - M,8,12,20
21309210 - HISTÓRIA (LIC) - N,6,5,11
21310111 - LETRAS - LÍNGUA VERNÁCULA (LIC) - M,5,9,14
21310112 - LETRAS - LÍNG.VERNÁCULA/ING. (LIC) - M,4,18,22
21310211 - LETRAS - LÍNGUA VERNÁCULA (LIC) - N,16,4,20
21310212 - LETRAS - LÍNG.VERNÁCULA/ING. (LIC) - N,12,3,15
21312110 - PEDAGOGIA (LICENCIATURA) - M,12,5,17
21312210 - PEDAGOGIA (LICENCIATURA) - N,6,11,17
