Ano;Cód.Área;Área de Enquadramento;Cód.IES;Nome da IES;Sigla da IES;Categ. Administrativa;Org. Acadêmica;Cód. Município;Município do Curso;UF do Curso;Região do Curso;Nr. Cursos da Unidade;Conluintes Inscritos;Concluintes Participantes;Nota Bruta - FG;Nota Bruta - CE;Nota Bruta - Geral;Nota Contínua do Enade;Nota Bruta - Org. Didático-Pedagógica;Nota Padronizada - Org. Didático-Pedagógica;Nota Bruta - Infraestrutura;Nota Padronizada - Infraestrutura;Nota Bruta - Oport. Ampliação;Nota Padronizada - Oport. Ampliação;Ingressantes inscritos no Enade;Ingressantes participantes no Enem;Nota dos Ingressantes no Enem;% de Ingressantes cujos pais têm ensino superior;Nota Bruta do IDD;Nota Padronizada do IDD;% de Mestres;Nota Padronizada de Mestres;% de Doutores;Nota Padronizada de Doutores;% regime de trabalho mínimo parcial;Nota padronizada de regime de trabalho;CPC Contínuo;CPC Faixa;Observação
2013;5;MEDICINA VETERINÁRIA;1;UNIVERSIDADE FEDERAL DE MATO GROSSO;UFMT;Pública Federal;Universidade;5103403;CUIABA;MT;CENTRO-OESTE;1;73;67;53,9239;51,6612;52,2343;4,0603;4,1280;0,8957;3,3757;0,8758;4,2225;2,4396;62;61;61,8924;50,8475;14,7259;2,8661;94,6429;4,2969;80,3571;4,0179;100,0000;5,0000;3,2871;4;
2013;5;MEDICINA VETERINÁRIA;1;UNIVERSIDADE FEDERAL DE MATO GROSSO;UFMT;Pública Federal;Universidade;5107909;SINOP;MT;CENTRO-OESTE;1;89;85;47,2435;46,3918;46,6188;3,0232;4,2062;1,0715;3,4459;0,9862;3,8243;1,8661;99;99;58,2583;47,4227;11,7500;2,0749;93,7500;4,1797;77,0833;3,8542;100,0000;5,0000;2,7738;3;
2013;5;MEDICINA VETERINÁRIA;2;UNIVERSIDADE DE BRASÍLIA;UNB;Pública Federal;Universidade;5300108;BRASILIA;DF;CENTRO-OESTE;1;49;46;47,7870;51,5391;50,6130;3,7260;4,6477;2,0641;3,5092;1,0859;4,6378;3,0379;39;31;60,9490;74,1936;13,7382;2,6035;97,9381;4,7294;78,3505;3,9175;100,0000;5,0000;3,2588;4;
2013;5;MEDICINA VETERINÁRIA;3;UNIVERSIDADE FEDERAL DE SERGIPE;UFS;Pública Federal;Universidade;2806701;SAO CRISTOVAO;SE;NORDESTE;1;0;0;;;;;;0,0000;;0,0000;;0,0000;50;50;59,0956;31,9149;;;92,5000;4,0156;75,0000;3,7500;100,0000;5,0000;;;Unidade com cursos não reconhecidos até 31/10/2014
2013;5;MEDICINA VETERINÁRIA;5;UNIVERSIDADE FEDERAL DO PIAUÍ;UFPI;Pública Federal;Universidade;2201903;BOM JESUS;PI;NORDESTE;1;76;74;50,9176;40,6311;43,2149;2,4588;5,0286;2,9205;4,5152;2,6691;4,2840;2,5282;50;50;48,1914;28,8889;16,9816;3,4658;93,5484;4,1532;59,6774;2,9839;100,0000;5,0000;3,2546;4;
2013;5;MEDICINA VETERINÁRIA;5;UNIVERSIDADE FEDERAL DO PIAUÍ;UFPI;Pública Federal;Universidade;2211001;TERESINA;PI;NORDESTE;1;63;62;54,8161;46,1645;48,3339;3,3862;4,7936;2,3922;4,4321;2,5383;4,5344;2,8889;44;43;60,8377;44,1860;11,7219;2,0674;92,2078;3,9773;61,0390;3,0519;100,0000;5,0000;2,9105;3;
2013;5;MEDICINA VETERINÁRIA;8;UNIVERSIDADE FEDERAL DE VIÇOSA;UFV;Pública Federal;Universidade;3171303;VICOSA;MG;SUDESTE;1;101;98;52,7602;53,1684;53,0806;4,1975;4,6870;2,1525;4,6168;2,8291;4,7993;3,2705;61;61;65,8897;65,5738;12,2348;2,2038;100,0000;5,0000;100,0000;5,0000;100,0000;5,0000;3,4955;4;
2013;5;MEDICINA VETERINÁRIA;9;UNIVERSIDADE ESTADUAL DE LONDRINA;UEL;Pública Estadual;Universidade;4113700;LONDRINA;PR;SUL;1;91;91;55,3154;49,8802;51,2527;3,8990;4,7607;2,3181;4,1898;2,1570;4,4064;2,7045;76;72;63,1488;65,7143;12,6366;2,3106;94,5652;4,2867;82,6087;4,1304;100,0000;5,0000;3,2539;4;
2013;5;MEDICINA VETERINÁRIA;10;PONTIFÍCIA UNIVERSIDADE CATÓLICA DO PARANÁ;PUCPR;Privada sem fins lucrativos;Universidade;4125506;SAO JOSE DO PINHAIS;PR;SUL;1;55;48;47,5167;44,8021;45,4917;2,8290;5,5953;4,1944;5,4590;4,1545;5,6667;4,5199;87;69;56,7104;61,7647;10,9093;1,8514;97,5610;4,6799;36,5854;1,8293;95,1219;4,7213;2,8286;3;
2013;5;MEDICINA VETERINÁRIA;10;PONTIFÍCIA UNIVERSIDADE CATÓLICA DO PARANÁ;PUCPR;Privada sem fins lucrativos;Universidade;4127700;TOLEDO;PR;SUL;1;28;28;46,6536;43,3857;44,2179;2,5986;5,3293;3,5965;5,1010;3,5910;5,3429;4,0534;35;27;49,5586;38,4615;16,1493;3,2445;91,3043;3,8587;21,7391;1,0870;82,6087;4,0062;2,9588;4;
