Ano;Código da IES;Nome da IES;Sigla da IES;Organização Acadêmica;Categoria Administrativa;Código do Curso;Código da Área;Área de Enquadramento;Modalidade de Ensino;Código do Município;Município do Curso;Sigla da UF;Concluintes Inscritos;Concluintes Participantes;Nota Bruta - FG;Nota Padronizada - FG;Nota Bruta - CE;Nota Padronizada - CE;Conceito Enade (Contínuo);Conceito Enade (Faixa);;;
2016;1;UNIVERSIDADE FEDERAL DE MATO GROSSO;UFMT;Universidade;Pessoa Jurídica de Direito Público - Federal;7;38;SERVIÇO SOCIAL;Educação Presencial;5103403;CUIABÁ;MT;34;32;39,3125;2,2075;59,6500;3,4095;3,1090;4;;;
2016;1;UNIVERSIDADE FEDERAL DE MATO GROSSO;UFMT;Universidade;Pessoa Jurídica de Direito Público - Federal;9;17;AGRONOMIA;Educação Presencial;5103403;CUIABÁ;MT;54;52;55,7135;4,0043;63,8365;3,2078;3,4070;4;;;
2016;1;UNIVERSIDADE FEDERAL DE MATO GROSSO;UFMT;Universidade;Pessoa Jurídica de Direito Público - Federal;12;12;MEDICINA;Educação Presencial;5103403;CUIABÁ;MT;35;33;63,1667;3,4732;68,5061;2,7593;2,9378;3;;;
2016;1;UNIVERSIDADE FEDERAL DE MATO GROSSO;UFMT;Universidade;Pessoa Jurídica de Direito Público - Federal;17;23;ENFERMAGEM;Educação Presencial;5103403;CUIABÁ;MT;29;28;48,1214;3,0146;46,9786;3,0332;3,0285;4;;;
2016;1;UNIVERSIDADE FEDERAL DE MATO GROSSO;UFMT;Universidade;Pessoa Jurídica de Direito Público - Federal;20;28;NUTRIÇÃO;Educação Presencial;5103403;CUIABÁ;MT;19;18;54,5944;3,8593;60,8167;3,7300;3,7624;4;;;
2016;1;UNIVERSIDADE FEDERAL DE MATO GROSSO;UFMT;Universidade;Pessoa Jurídica de Direito Público - Federal;37;5;MEDICINA VETERINÁRIA;Educação Presencial;5103403;CUIABÁ;MT;29;29;50,7690;3,0782;51,5103;3,0396;3,0492;4;;;
2016;2;UNIVERSIDADE DE BRASÍLIA;UNB;Universidade;Pessoa Jurídica de Direito Público - Federal;126;38;SERVIÇO SOCIAL;Educação Presencial;5300108;BRASÍLIA;DF;79;63;53,7143;4,2181;69,8540;4,4270;4,3748;5;;;
2016;2;UNIVERSIDADE DE BRASÍLIA;UNB;Universidade;Pessoa Jurídica de Direito Público - Federal;135;17;AGRONOMIA;Educação Presencial;5300108;BRASÍLIA;DF;113;86;52,1267;3,4393;64,2465;3,2680;3,3108;4;;;
2016;2;UNIVERSIDADE DE BRASÍLIA;UNB;Universidade;Pessoa Jurídica de Direito Público - Federal;140;12;MEDICINA;Educação Presencial;5300108;BRASÍLIA;DF;89;85;63,0059;3,4368;68,9306;2,8415;2,9903;4;;;
2016;2;UNIVERSIDADE DE BRASÍLIA;UNB;Universidade;Pessoa Jurídica de Direito Público - Federal;141;6;ODONTOLOGIA;Educação Presencial;5300108;BRASÍLIA;DF;54;54;62,6815;4,7679;64,1796;3,3504;3,7048;4;;;
2016;2;UNIVERSIDADE DE BRASÍLIA;UNB;Universidade;Pessoa Jurídica de Direito Público - Federal;143;23;ENFERMAGEM;Educação Presencial;5300108;BRASÍLIA;DF;55;51;52,5941;3,6141;54,6824;4,1370;4,0063;5;;;
