Ano;Código da Área;Área de Avaliação;Código da IES;Nome da IES;Sigla da IES;Organização Acadêmica;Categoria Administrativa;Código do Curso;Modalidade de Ensino;Código do Município;Município do Curso;Sigla da UF;Nº de Concluintes Inscritos;Nº de Concluintes Participantes;Nº de Concluintes Participantes com nota no Enem;Proporção de Concluintes participantes com nota no Enem;Nota Bruta - IDD;IDD (Contínuo);IDD (Faixa);Observação
2017;21;ARQUITETURA E URBANISMO;1;UNIVERSIDADE FEDERAL DE MATO GROSSO;UFMT;Universidade;Pública Federal;44;Educação Presencial;5103403;Cuiabá;MT;44;43;40;0,9302;0,6037;2,6969;3;
2017;21;ARQUITETURA E URBANISMO;2;UNIVERSIDADE DE BRASÍLIA;UNB;Universidade;Pública Federal;132;Educação Presencial;5300108;Brasília;DF;141;128;97;0,7578;0,2739;2,5062;3;
2017;21;ARQUITETURA E URBANISMO;2;UNIVERSIDADE DE BRASÍLIA;UNB;Universidade;Pública Federal;1138293;Educação Presencial;5300108;Brasília;DF;123;110;84;0,7636;-0,6979;1,9444;2;
2017;21;ARQUITETURA E URBANISMO;3;UNIVERSIDADE FEDERAL DE SERGIPE;UFS;Universidade;Pública Federal;99444;Educação Presencial;2803609;Laranjeiras;SE;42;31;24;0,7742;1,4071;3,1613;4;
2017;21;ARQUITETURA E URBANISMO;4;UNIVERSIDADE FEDERAL DO AMAZONAS;UFAM;Universidade;Pública Federal;122640;Educação Presencial;1302603;Manaus;AM;64;50;50;1,0000;-0,6806;1,9544;3;
2017;21;ARQUITETURA E URBANISMO;5;UNIVERSIDADE FEDERAL DO PIAUÍ;UFPI;Universidade;Pública Federal;517;Educação Presencial;2211001;Teresina;PI;91;82;81;0,9878;-0,6571;1,9680;3;
2017;21;ARQUITETURA E URBANISMO;6;UNIVERSIDADE FEDERAL DE OURO PRETO;UFOP;Universidade;Pública Federal;112596;Educação Presencial;3146107;Ouro Preto;MG;45;43;39;0,9070;0,4456;2,6055;3;
2017;21;ARQUITETURA E URBANISMO;8;UNIVERSIDADE FEDERAL DE VIÇOSA;UFV;Universidade;Pública Federal;704;Educação Presencial;3171303;Viçosa;MG;48;46;46;1,0000;0,0087;2,3529;3;
2017;21;ARQUITETURA E URBANISMO;9;UNIVERSIDADE ESTADUAL DE LONDRINA;UEL;Universidade;Pública Estadual;750;Educação Presencial;4113700;Londrina;PR;69;65;63;0,9692;-3,3805;0,3936;1;
2017;21;ARQUITETURA E URBANISMO;10;PONTIFÍCIA UNIVERSIDADE CATÓLICA DO PARANÁ;PUCPR;Universidade;Privada sem fins lucrativos;864;Educação Presencial;4106902;Curitiba;PR;201;182;159;0,8736;-0,2777;2,1873;3;
2017;21;ARQUITETURA E URBANISMO;11;UNIVERSIDADE CATÓLICA DE PERNAMBUCO;UNICAP;Universidade;Privada sem fins lucrativos;52971;Educação Presencial;2611606;Recife;PE;81;67;61;0,9104;-0,0471;2,3206;3;
2017;21;ARQUITETURA E URBANISMO;13;UNIVERSIDADE DE CAXIAS DO SUL;UCS;Universidade;Privada sem fins lucrativos;1140;Educação Presencial;4305108;Caxias do Sul;RS;145;139;70;0,5036;0,7803;2,7990;3;
2017;21;ARQUITETURA E URBANISMO;13;UNIVERSIDADE DE CAXIAS DO SUL;UCS;Universidade;Privada sem fins lucrativos;1181260;Educação Presencial;4302105;Bento Gonçalves;RS;4;4;2;0,5000;-3,1263;0,5405;1;
2017;21;ARQUITETURA E URBANISMO;14;UNIVERSIDADE DO VALE DO RIO DOS SINOS;UNISINOS;Universidade;Privada sem fins lucrativos;1237;Educação Presencial;4318705;São Leopoldo;RS;179;169;102;0,6036;-0,2450;2,2062;3;
2017;21;ARQUITETURA E URBANISMO;15;UNIVERSIDADE CATÓLICA DE PETRÓPOLIS;UCP;Universidade;Privada sem fins lucrativos;1276952;Educação Presencial;3303906;Petrópolis;RJ;43;38;23;0,6053;1,1568;3,0166;4;
2017;21;ARQUITETURA E URBANISMO;17;UNIVERSIDADE FEDERAL DE UBERLÂNDIA;UFU;Universidade;Pública Federal;18374;Educação Presencial;3170206;Uberlândia;MG;69;64;57;0,8906;-0,4669;2,0780;3;
2017;21;ARQUITETURA E URBANISMO;18;UNIVERSIDADE CATÓLICA DE PELOTAS;UCPEL;Universidade;Privada sem fins lucrativos;1534;Educação Presencial;4314407;Pelotas;RS;64;62;50;0,8065;-0,5200;2,0472;3;
2017;21;ARQUITETURA E URBANISMO;19;PONTIFÍCIA UNIVERSIDADE CATÓLICA DE CAMPINAS;PUC-CAMPINAS;Universidade;Privada sem fins lucrativos;1634;Educação Presencial;3509502;Campinas;SP;182;172;160;0,9302;-0,1129;2,2826;3;
2017;21;ARQUITETURA E URBANISMO;20;UNIVERSIDADE DE PASSO FUNDO;UPF;Universidade;Privada sem fins lucrativos;1786;Educação Presencial;4314100;Passo Fundo;RS;139;132;119;0,9015;-0,0489;2,3196;3;
2017;21;ARQUITETURA E URBANISMO;21;PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL;PUCRS;Universidade;Privada sem fins lucrativos;18056;Educação Presencial;4314902;Porto Alegre;RS;114;105;78;0,7429;-0,1584;2,2563;3;
