Quantidade de alunos matriculados em 2024.1 por curso e sexo.,,,
,FEMININO,MASCULINO,Total
13301100 - ADMINISTRAÇÃO - D (Campina Grande),128,87,215
13301200 - ADMINISTRAÇÃO - N (Campina Grande),67,48,115
31301200 - ADMINISTRAÇÃO - N (Sousa),81,93,174
91402100 - AGRONOMIA - D (Pombal),58,120,178
15101100 - ARQUITETURA E URBANISMO - D (Campina Grande),113,48,161
13317100 - ARTE E MÍDIA - D (Campina Grande),55,59,114
14102100 - CIÊNCIA DA COMPUTAÇÃO - D (Campina Grande),168,609,777
41201110 - CIÊNCIAS BIOLÓGICAS (LIC) - D (Patos),72,40,112
51201110 - CIÊNCIAS BIOLÓGICAS (LIC) - D (Cuité),68,49,117
21201110 - CIÊNCIAS BIOLÓGICAS (LIC) - M (Cajazeiras),86,50,136
41201210 - CIÊNCIAS BIOLÓGICAS (LIC) - N (Patos),75,51,126
51201210 - CIÊNCIAS BIOLÓGICAS (LIC) - N (Cuité),71,57,128
31360200 - CIÊNCIAS CONTÁBEIS - N (Sousa),94,104,198
13304100 - CIÊNCIAS ECONÔMICAS - M (Campina Grande),40,62,102
13304200 - CIÊNCIAS ECONÔMICAS - N (Campina Grande),34,39,73
13305150 - CIÊNCIAS SOCIAIS (BAC) - D (Campina Grande),42,27,69
13305210 - CIÊNCIAS SOCIAIS (LIC) - N (Campina Grande),38,27,65
71305210 - CIÊNCIAS SOCIAIS (LIC) - N (Sumé),69,40,109
13306100 - COMUNICAÇÃO SOCIAL - D (Campina Grande),38,32,70
13306200 - COMUNICAÇÃO SOCIAL - N (Campina Grande),42,36,78
11104120 - DESIGN - D (Campina Grande),130,74,204
31350100 - DIREITO - M (Sousa),175,109,284
31350200 - DIREITO - N (Sousa),153,156,309
31350300 - DIREITO - V (Sousa),166,87,253
12204100 - ENFERMAGEM - D (Campina Grande),178,46,224
21204100 - ENFERMAGEM - D (Cajazeiras),198,63,261
51204100 - ENFERMAGEM - D (Cuité),184,48,232
71132100 - ENG. DE BIOTECNOLOGIA E BIOPROCESSOS - D (Sumé),38,15,53
15121100 - ENGENHARIA AGRÍCOLA - D (Campina Grande),46,70,116
91130100 - ENGENHARIA AMBIENTAL - D (Pombal),43,35,78
