"Porcentagem de alunos matriculados abaixo do minimo em 2018.2, por curso.",,,,,,
Cód. Curso,Curso,Currículo,Cr/CH mín.,Matriculados,Abaixo mín.,%
13301100,ADMINISTRAÇÃO - D,1995,16,1,1,100.0
13301100,ADMINISTRAÇÃO - D,2017,16,231,12,5.2
13301200,ADMINISTRAÇÃO - N,2017,16,132,8,6.1
31301200,ADMINISTRAÇÃO - N,2009,16,173,18,10.4
91402100,AGRONOMIA - D,2008,17,248,16,6.5
91402100,AGRONOMIA - D,2023,18,3,0,0.0
15101100,ARQUITETURA E URBANISMO - D,2010,16,172,21,12.2
15101100,ARQUITETURA E URBANISMO - D,2024,16,3,1,33.3
13317100,ARTE E MÍDIA - D,1999,14,115,14,12.2
14102100,CIÊNCIA DA COMPUTAÇÃO - D,1999,14,78,8,10.3
14102100,CIÊNCIA DA COMPUTAÇÃO - D,2017,14,596,7,1.2
14102100,CIÊNCIA DA COMPUTAÇÃO - D,2023,16,5,0,0.0
41201110,CIÊNCIAS BIOLÓGICAS (LIC) - D,2010,16,104,12,11.5
51201110,CIÊNCIAS BIOLÓGICAS (LIC) - D,2008,18,88,18,20.5
21201110,CIÊNCIAS BIOLÓGICAS (LIC) - M,2011,16,97,11,11.3
41201210,CIÊNCIAS BIOLÓGICAS (LIC) - N,2006,14,66,7,10.6
41201210,CIÊNCIAS BIOLÓGICAS (LIC) - N,2010,14,78,0,0.0
51201210,CIÊNCIAS BIOLÓGICAS (LIC) - N,2008,14,120,16,13.3
31360200,CIÊNCIAS CONTÁBEIS - N,2016,16,191,26,13.6
13304100,CIÊNCIAS ECONÔMICAS - M,2009,16,90,7,7.8
13304100,CIÊNCIAS ECONÔMICAS - M,2023,16,1,0,0.0
13304200,CIÊNCIAS ECONÔMICAS - N,2009,16,98,5,5.1
13304200,CIÊNCIAS ECONÔMICAS - N,2023,16,4,0,0.0
13305150,CIÊNCIAS SOCIAIS (BAC) - D,1992,16,8,4,50.0
13305150,CIÊNCIAS SOCIAIS (BAC) - D,2017,16,35,2,5.7
13305210,CIÊNCIAS SOCIAIS (LIC) - N,1992,12,23,3,13.0
13305210,CIÊNCIAS SOCIAIS (LIC) - N,2018,16,73,1,1.4
71305210,CIÊNCIAS SOCIAIS (LIC) - N,2009,16,99,23,23.2
13306100,COMUNICAÇÃO SOCIAL - D,2010,15,106,7,6.6
13306200,COMUNICAÇÃO SOCIAL - N,2010,14,101,3,3.0
11104120,DESIGN - D,2013,16,162,35,21.6
31350100,DIREITO - M,2015,18,288,24,8.3
31350200,DIREITO - N,2015,18,270,31,11.5
31350300,DIREITO - V,2015,18,279,16,5.7
12204100,ENFERMAGEM - D,2009,20,146,20,13.7
21204100,ENFERMAGEM - D,2005,18,79,36,45.6
21204100,ENFERMAGEM - D,2018,19,117,1,0.9
51204100,ENFERMAGEM - D,2015,18,240,8,3.3
71132100,ENG. DE BIOTECNOLOGIA E BIOPROCESSOS - D,2009,16,105,9,8.6
15121100,ENGENHARIA AGRÍCOLA - D,2007,18,90,14,15.6
15121100,ENGENHARIA AGRÍCOLA - D,2021,17,9,1,11.1
91130100,ENGENHARIA AMBIENTAL - D,2009,16,207,11,5.3
91130100,ENGENHARIA AMBIENTAL - D,2024,16,1,0,0.0
15122100,ENGENHARIA CIVIL - D,2014,16,513,31,6.0
91122100,ENGENHARIA CIVIL - D,2014,16,305,3,1.0
91122100,ENGENHARIA CIVIL - D,2024,16,1,0,0.0
15125100,ENGENHARIA DE ALIMENTOS - D,2009,16,93,1,1.1
91125100,ENGENHARIA DE ALIMENTOS - D,2009,16,174,24,13.8
91125100,ENGENHARIA DE ALIMENTOS - D,2023,16,1,1,100.0
71131100,ENGENHARIA DE BIOSSISTEMAS - D,2009,16,98,11,11.2
11126100,ENGENHARIA DE MATERIAIS - D,2009,16,139,10,7.2
15127100,ENGENHARIA DE MINAS - D,2010,16,121,10,8.3
11135100,ENGENHARIA DE PETRÓLEO - D,2009,15,119,12,10.1
11133100,ENGENHARIA DE PRODUÇÃO - D,2005,15,133,6,4.5
71133100,ENGENHARIA DE PRODUÇÃO - D,2009,16,174,14,8.0
14123100,ENGENHARIA ELÉTRICA,1999,15,848,36,4.2
41403100,ENGENHARIA FLORESTAL - D,2009,16,103,14,13.6
11124100,ENGENHARIA MECÂNICA - D,1992,18,10,3,30.0
11124100,ENGENHARIA MECÂNICA - D,2016,18,281,18,6.4
11128100,ENGENHARIA QUÍMICA - D,2009,16,204,12,5.9
11134100,ESTATÍSTICA - D,2010,16,36,6,16.7
51203100,FARMÁCIA - D,2007,20,364,16,4.4
13314250,FILOSOFIA (BAC) - N,2009,16,29,5,17.2
13314210,FILOSOFIA (LIC) - N,2009,6,43,1,2.3
