Cód.,EMEC,Curso,Alunos ativos,Tipo,Turno
13301100,13434,ADMINISTRAÇÃO,322,BAC,D
13301200,13434,ADMINISTRAÇÃO,191,BAC,N
31301200,118546,ADMINISTRAÇÃO,231,BAC,N
91402100,99800,AGRONOMIA,348,BAC,D
15101100,1129147,ARQUITETURA URBANISMO,220,BAC,D
13317100,21164,ARTE MÍDIA,142,BAC,D
14102100,13446,CIÊNCIA DA COMPUTAÇÃO,907,BAC,D
41201110,99802,CIÊNCIAS BIOLÓGICAS,160,LIC,D
51201110,99804,CIÊNCIAS BIOLÓGICAS,120,LIC,D
21201110,1152882,CIÊNCIAS BIOLÓGICAS,152,LIC,M
41201210,99802,CIÊNCIAS BIOLÓGICAS,204,LIC,N
51201210,99804,CIÊNCIAS BIOLÓGICAS,158,LIC,N
31360200,79567,CIÊNCIAS CONTÁBEIS,258,BAC,N
13304100,13451,CIÊNCIAS ECONÔMICAS,145,BAC,M
13304200,13451,CIÊNCIAS ECONÔMICAS,148,BAC,N
13305150,313436,CIÊNCIAS SOCIAIS,82,BAC,D
13305210,13436,CIÊNCIAS SOCIAIS,147,LIC,N
71305210,1106595,CIÊNCIAS SOCIAIS,156,LIC,N
13306100,1149786,COMUNICAÇÃO SOCIAL,145,BAC,D
13306200,1149786,COMUNICAÇÃO SOCIAL,144,BAC,N
11104120,13447,DESIGN,219,BAC,D
31350100,13433,DIREITO,313,BAC,M
31350200,13433,DIREITO,342,BAC,N
31350300,13433,DIREITO,324,BAC,V
12204100,1134328,ENFERMAGEM,234,BAC,D
21204100,79572,ENFERMAGEM,257,BAC,D
51204100,107492,ENFERMAGEM,285,BAC,D
71132100,1106561,ENG. DE BIOTECNOLOGIA BIOPROCESSOS,144,BAC,D
15121100,13440,ENGENHARIA AGRÍCOLA,148,BAC,D
91130100,112282,ENGENHARIA AMBIENTAL,229,BAC,D
15122100,13439,ENGENHARIA CIVIL,575,BAC,D
91122100,1280408,ENGENHARIA CIVIL,421,BAC,D
15125100,118550,ENGENHARIA DE ALIMENTOS,138,BAC,D
91125100,112294,ENGENHARIA DE ALIMENTOS,233,BAC,D
71131100,1106562,ENGENHARIA DE BIOSSISTEMAS,127,BAC,D
11126100,13445,ENGENHARIA DE MATERIAIS,186,BAC,D
15127100,13444,ENGENHARIA DE MINAS,145,BAC,D
11135100,118562,ENGENHARIA DE PETRÓLEO,145,BAC,D
11133100,79570,ENGENHARIA DE PRODUÇÃO,189,BAC,D
71133100,1106578,ENGENHARIA DE PRODUÇÃO,181,BAC,D
14123100,13438,ENGENHARIA ELÉTRICA,1046,BAC,D
41403100,13456,ENGENHARIA FLORESTAL,130,BAC,D
11124100,13442,ENGENHARIA MECÂNICA,366,BAC,D
11128100,13441,ENGENHARIA QUÍMICA,241,BAC,D
