Curso,Feminino,Masculino,Total
ADMINISTRAÇÃO,286,233,519
AGRONOMIA,54,107,161
ARQUITETURA E URBANISMO,127,60,187
ARTE E MÍDIA,65,73,138
CIÊNCIA DA COMPUTAÇÃO,174,613,787
CIÊNCIAS BIOLÓGICAS,348,252,600
CIÊNCIAS CONTÁBEIS,80,88,168
CIÊNCIAS ECONÔMICAS,84,110,194
CIÊNCIAS SOCIAIS,140,88,228
COMUNICAÇÃO SOCIAL,113,91,204
DESIGN,124,71,195
DIREITO,453,307,760
ENFERMAGEM,548,153,701
ENG. DE BIOTECNOLOGIA E BIOPROCESSOS,29,12,41
ENGENHARIA AGRÍCOLA,38,53,91
ENGENHARIA AMBIENTAL,29,23,52
ENGENHARIA CIVIL,241,350,591
ENGENHARIA DE ALIMENTOS,97,55,152
ENGENHARIA DE BIOSSISTEMAS,14,11,25
ENGENHARIA DE MATERIAIS,36,56,92
ENGENHARIA DE MINAS,50,49,99
ENGENHARIA DE PETRÓLEO,29,37,66
ENGENHARIA DE PRODUÇÃO,80,91,171
ENGENHARIA ELÉTRICA,140,516,656
ENGENHARIA FLORESTAL,32,29,61
ENGENHARIA MECÂNICA,44,193,237
ENGENHARIA QUÍMICA,69,57,126
ESTATÍSTICA,10,14,24
FARMÁCIA,226,115,341
FILOSOFIA,20,57,77
FÍSICA,104,164,268
GEOGRAFIA,217,239,456
HISTÓRIA,289,253,542
INTERDISCIPLINAR EM EDUC. DO CAMPOD,36,29,65
LETRAS,473,223,696
MATEMÁTICA,159,189,348
MEDICINA,324,407,731
MEDICINA VETERINÁRIA,237,140,377
METEOROLOGIA,9,12,21
MÚSICA,11,71,82
NUTRIÇÃO,203,42,245
ODONTOLOGIA,200,120,320
PEDAGOGIA,473,56,529
PSICOLOGIA,273,84,357
QUÍMICA,145,93,238
SERVIÇO SOCIAL,89,20,109
TECNOLOGIA EM AGROECOLOGIA,19,5,24
TECNOLOGIA EM GESTÃO PÚBLICA,48,18,66
