"Quantidade de alunos ativos em 2019, por curso.",,,
Estão incluídos os alunos que tiveram vínculo em algum momento de um ou dos dois semestres do ano sendo consultado. O vínculo não implica necessariamente ter feito matrícula.,,,
Cód.,EMEC,Curso,Alunos ativos
13301100,13434,ADMINISTRAÇÃO - D,305
13301200,13434,ADMINISTRAÇÃO - N,184
31301200,118546,ADMINISTRAÇÃO - N,236
91402100,99800,AGRONOMIA - D,331
15101100,1129147,ARQUITETURA E URBANISMO - D,226
13317100,21164,ARTE E MÍDIA - D,144
14102100,13446,CIÊNCIA DA COMPUTAÇÃO - D,877
21103114,13432,CIÊNCIAS - FÍSICA (LIC) - M,1
41201110,99802,CIÊNCIAS BIOLÓGICAS (LIC) - D,149
51201110,99804,CIÊNCIAS BIOLÓGICAS (LIC) - D,125
21201110,1152882,CIÊNCIAS BIOLÓGICAS (LIC) - M,134
41201210,99802,CIÊNCIAS BIOLÓGICAS (LIC) - N,199
51201210,99804,CIÊNCIAS BIOLÓGICAS (LIC) - N,162
31360200,79567,CIÊNCIAS CONTÁBEIS - N,264
13304100,13451,CIÊNCIAS ECONÔMICAS - M,138
13304200,13451,CIÊNCIAS ECONÔMICAS - N,153
13305150,313436,CIÊNCIAS SOCIAIS (BAC) - D,82
13305210,13436,CIÊNCIAS SOCIAIS (LIC) - N,143
71305210,1106595,CIÊNCIAS SOCIAIS (LIC) - N,143
13306100,1149786,COMUNICAÇÃO SOCIAL - D,142
13306200,1149786,COMUNICAÇÃO SOCIAL - N,147
11104120,13447,DESIGN - D,221
31350100,13433,DIREITO - M,325
31350200,13433,DIREITO - N,344
31350300,13433,DIREITO - V,313
12204100,1134328,ENFERMAGEM - D,212
21204100,79572,ENFERMAGEM - D,254
51204100,107492,ENFERMAGEM - D,281
71132100,1106561,ENG. DE BIOTECNOLOGIA E BIOPROCESSOS - D,145
15121100,13440,ENGENHARIA AGRÍCOLA - D,153
91130100,112282,ENGENHARIA AMBIENTAL - D,262
15122100,13439,ENGENHARIA CIVIL - D,615
91122100,1280408,ENGENHARIA CIVIL - D,404
15125100,118550,ENGENHARIA DE ALIMENTOS - D,143
91125100,112294,ENGENHARIA DE ALIMENTOS - D,237
71131100,1106562,ENGENHARIA DE BIOSSISTEMAS - D,126
11126100,13445,ENGENHARIA DE MATERIAIS - D,199
