Dados do período 2020.2,,,,,
Centro,Campus,Alunos Matriculados,Professores,Ingressantes,Graduados
CCT - CENTRO DE CIÊNCIAS E TECNOLOGIA,Campina Grande,1067,230,67,60
CCBS - CENTRO DE CIÊNCIAS BIOLÓGICAS E DA SAÚDE,Campina Grande,988,152,123,81
CH - CENTRO DE HUMANIDADES,Campina Grande,1918,255,393,119
CEEI - CENTRO DE ENGENHARIA ELÉTRICA E INFORMÁTICA,Campina Grande,1373,152,193,75
CTRN - CENTRO DE TECNOLOGIA E RECURSOS NATURAIS,Campina Grande,870,172,102,53
CFP - CENTRO DE FORMAÇÃO DE PROFESSORES,Cajazeiras,1742,184,206,70
CCJS - CENTRO DE CIÊNCIAS JURÍDICAS E SOCIAIS,Sousa,1190,90,0,125
CSTR - CENTRO DE SAÚDE E TECNOLOGIA RURAL,Patos,1104,119,142,97
CES - CENTRO DE EDUCAÇÃO E SAÚDE,Cuité,1431,125,119,103
CDSA - CENTRO DE DESENVOLVIMENTO SUSTENTÁVEL DO SEMI-ÁRIDO,Sumé,631,82,0,28
CCTA - CENTRO DE CIÊNCIAS E TECNOLOGIA AGROALIMENTAR,Pombal,831,76,130,37
