Dados do período 2020.1,,,,,,,,
Curso,,Campus,Alunos Matriculados,Professores,Ingressantes,Graduados,Disciplinas Ofertadas,Aprovação (%)
13301100,ADMINISTRAÇÃO - D,Campina Grande,217,40,51,20,50,90.72
13301200,ADMINISTRAÇÃO - N,Campina Grande,98,39,0,9,50,80.95
15101100,ARQUITETURA E URBANISMO - D,Campina Grande,150,27,0,17,30,97
13317100,ARTE E MÍDIA - D,Campina Grande,80,12,0,4,22,65.89
14102100,CIÊNCIA DA COMPUTAÇÃO - D,Campina Grande,691,57,100,76,61,93.91
13304100,CIÊNCIAS ECONÔMICAS - M,Campina Grande,98,32,47,8,55,85.29
13304200,CIÊNCIAS ECONÔMICAS - N,Campina Grande,63,29,0,6,49,85.59
13305150,CIÊNCIAS SOCIAIS (BAC) - D,Campina Grande,56,30,33,4,38,81.25
13305210,CIÊNCIAS SOCIAIS (LIC) - N,Campina Grande,66,30,0,2,41,86.36
13306100,COMUNICAÇÃO SOCIAL - D,Campina Grande,79,12,0,6,22,85.94
13306200,COMUNICAÇÃO SOCIAL - N,Campina Grande,78,13,0,10,21,91.35
11104120,DESIGN - D,Campina Grande,141,20,32,4,30,91.47
12204100,ENFERMAGEM - D,Campina Grande,175,45,35,12,49,91.73
15121100,ENGENHARIA AGRÍCOLA - D,Campina Grande,112,53,52,7,64,76.4
15122100,ENGENHARIA CIVIL - D,Campina Grande,439,88,63,58,66,91.23
15125100,ENGENHARIA DE ALIMENTOS - D,Campina Grande,105,54,47,1,57,81.54
11126100,ENGENHARIA DE MATERIAIS - D,Campina Grande,142,69,61,16,56,86.32
15127100,ENGENHARIA DE MINAS - D,Campina Grande,106,55,40,14,54,77.68
11135100,ENGENHARIA DE PETRÓLEO - D,Campina Grande,124,54,50,1,48,84.09
11133100,ENGENHARIA DE PRODUÇÃO - D,Campina Grande,153,52,47,17,54,91.31
14123100,ENGENHARIA ELÉTRICA,Campina Grande,759,97,117,63,105,90.71
11124100,ENGENHARIA MECÂNICA - D,Campina Grande,236,66,43,27,68,91.35
Curso,,Campus,Alunos Matriculados,Professores,Ingressantes,Graduados,Disciplinas Ofertadas,Aprovação (%)
11128100,ENGENHARIA QUÍMICA - D,Campina Grande,204,60,59,17,53,89.24
11134100,ESTATÍSTICA - D,Campina Grande,52,22,31,1,27,73.99
13314250,FILOSOFIA (BAC) - N,Campina Grande,26,11,16,2,24,72.82
13314210,FILOSOFIA (LIC) - N,Campina Grande,38,15,18,6,32,88.55
11105150,FÍSICA (BAC) - D,Campina Grande,32,39,20,3,35,64.23
11105110,FÍSICA (LIC) - D,Campina Grande,47,44,23,0,38,86.21
13316110,GEOGRAFIA (LIC) - M,Campina Grande,103,22,46,4,27,80.81
13316210,GEOGRAFIA (LIC) - N,Campina Grande,120,21,48,16,29,73.55
13309110,HISTÓRIA (LIC) - D,Campina Grande,129,33,42,13,51,89.96
13309210,HISTÓRIA (LIC) - N,Campina Grande,94,31,0,13,49,86.59
13310214,LETRAS - ESPANHOL (LICENCIATURA) N,Campina Grande,27,8,0,6,17,84.15
13323110,LETRAS - LIBRAS (LIC) - D,Campina Grande,70,11,26,0,19,82.03
13310115,LETRAS - LÍNG.PORT./LÍNG.FRANC.(LIC)-D,Campina Grande,50,26,21,5,42,84.65
13310116,LETRAS - LÍNGUA INGLESA (LIC) - D,Campina Grande,57,12,25,11,20,85.56
13310210,LETRAS - LÍNGUA PORTUGUESA (LIC) - N,Campina Grande,62,22,0,8,29,88.38
13310110,LETRAS- LÍNGUA PORTUGUESA (LIC) - D,Campina Grande,111,26,37,14,41,87.92
11107150,MATEMÁTICA (BAC) - D,Campina Grande,20,23,11,2,24,79.31
11107110,MATEMÁTICA (LIC) - D,Campina Grande,53,45,21,6,42,87.63
11107210,MATEMÁTICA (LIC) - N,Campina Grande,79,33,31,9,36,66.67
12205100,MEDICINA,Campina Grande,534,98,50,86,64,98.36
15108100,METEOROLOGIA - D,Campina Grande,58,50,46,4,37,63.82
13311150,MÚSICA (BAC) - D,Campina Grande,31,15,0,2,40,81.29
13311110,MÚSICA (LIC) - D,Campina Grande,67,22,0,7,43,85.63
13312110,PEDAGOGIA (LIC) - M,Campina Grande,111,25,38,4,38,83.11
13312210,PEDAGOGIA (LIC) - N,Campina Grande,75,25,0,11,39,94.22
Curso,,Campus,Alunos Matriculados,Professores,Ingressantes,Graduados,Disciplinas Ofertadas,Aprovação (%)
12208100,PSICOLOGIA - D,Campina Grande,264,29,51,0,57,94.89
12208200,PSICOLOGIA - N,Campina Grande,56,29,0,15,40,93.33
21201110,CIÊNCIAS BIOLÓGICAS (LIC) - M,Cajazeiras,122,23,41,14,33,87.58
21204100,ENFERMAGEM - D,Cajazeiras,212,33,36,20,50,95.34
21105210,FÍSICA (LIC) - N,Cajazeiras,105,15,40,3,21,78.26
21316110,GEOGRAFIA (LICENCIATURA) - M,Cajazeiras,98,19,0,13,30,89.76
21316210,GEOGRAFIA (LICENCIATURA) - N,Cajazeiras,133,21,42,5,34,85.17
