Dados do período 2020.2,,,,,,
Unidade Acadêmica,,Campus,Alunos Matriculados,Professores,Carga Horária Ofertada,Matrículas Efetivas
13010000,ADMINISTRAÇÃO E CONTABILIDADE,Campina Grande,606,28,4410,1267
13020000,ARTES,Campina Grande,305,23,4620,1005
15010000,CIÊNCIAS ATMOSFÉRICAS,Campina Grande,19,13,900,44
12020000,CIÊNCIAS MÉDICAS,Campina Grande,484,97,12810,2306
13050000,CIÊNCIAS SOCIAIS,Campina Grande,679,48,6150,1067
11120000,DESIGN,Campina Grande,151,15,1800,395
13030000,ECONOMIA E FINANCAS,Campina Grande,342,21,3090,578
13040000,EDUCAÇÃO,Campina Grande,510,35,4935,1285
12010000,ENFERMAGEM,Campina Grande,172,42,5430,836
15020000,ENGENHARIA AGRÍCOLA,Campina Grande,76,25,2625,210
15030000,ENGENHARIA CIVIL,Campina Grande,689,44,5865,1812
15040000,ENGENHARIA DE ALIMENTOS,Campina Grande,52,12,1650,141
11060000,ENGENHARIA DE MATERIAIS,Campina Grande,208,17,1650,286
11110000,ENGENHARIA DE PETRÓLEO,Campina Grande,85,10,1290,141
11130000,ENGENHARIA DE PRODUÇÃO,Campina Grande,313,17,2520,367
14040000,ENGENHARIA ELÉTRICA,Campina Grande,588,52,8190,1884
11050000,ENGENHARIA MECÂNICA,Campina Grande,267,27,3255,643
11070000,ENGENHARIA QUÍMICA,Campina Grande,307,28,3660,605
11140000,ESTATÍSTICA,Campina Grande,570,16,2430,606
11080000,FÍSICA,Campina Grande,880,32,5115,1384
13080000,GEOGRAFIA,Campina Grande,178,17,2940,654
13060000,HISTÓRIA,Campina Grande,265,23,3480,744
13070000,LETRAS,Campina Grande,699,61,8685,1639
11090000,MATEMÁTICA,Campina Grande,1491,34,4140,2093
15100000,MINERAÇÃO E GEOLOGIA,Campina Grande,109,14,1740,221
13090000,MÚSICA,Campina Grande,97,15,2910,366
12050000,PSICOLOGIA,Campina Grande,333,29,7695,1755
14110000,SISTEMAS E COMPUTAÇÃO,Campina Grande,1019,38,4680,2355
21050000,CIÊNCIAS DA VIDA,Cajazeiras,292,56,7425,999
21020000,CIÊNCIAS EXATAS E DA NATUREZA,Cajazeiras,373,31,5880,1167
21010000,CIÊNCIAS SOCIAIS,Cajazeiras,401,18,3060,1009
21030000,EDUCAÇÃO,Cajazeiras,667,29,4125,1475
21060000,ENFERMAGEM,Cajazeiras,218,29,2595,819
21070000,GEOGRAFIA,Cajazeiras,227,14,2310,614
Unidade Acadêmica,,Campus,Alunos Matriculados,Professores,Carga Horária Ofertada,Matrículas Efetivas
21040000,LETRAS,Cajazeiras,507,26,4215,1155
31030000,CIÊNCIAS CONTÁBEIS,Sousa,330,28,3690,1507
31010000,DIREITO,Sousa,860,62,7650,5218
41050000,CIÊNCIAS BIOLÓGICAS,Patos,315,29,3120,1004
41020000,ENGENHARIA FLORESTAL,Patos,87,27,3045,404
41010000,MEDICINA VETERINÁRIA,Patos,408,44,5250,1973
41060000,ODONTOLOGIA,Patos,382,35,3735,1501
51040000,BIOLOGIA E QUÍMICA,Cuité,678,33,5610,1490
51030000,ENFERMAGEM,Cuité,228,24,5415,1198
51010000,FÍSICA E MATEMÁTICA,Cuité,621,35,5640,1230
51020000,SAÚDE,Cuité,752,41,10590,3375
71050000,CIÊNCIAS SOCIAIS,Sumé,144,9,1665,300
71010000,EDUCAÇÃO DO CAMPO,Sumé,258,22,3060,482
71030000,ENGENHARIA DE BIOTECNOLOGIA E BIOPROCESSOS,Sumé,112,14,1320,248
71040000,ENGENHARIA DE PRODUÇÃO,Sumé,169,12,1470,389
71060000,GESTÃO PÚBLICA,Sumé,97,8,930,276
71020000,TECNOLOGIA DO DESENVOLVIMENTO,Sumé,291,34,3870,843
91010000,AGRONOMIA E TECNOLOGIA DE ALIMENTO,Pombal,832,76,14280,4025
