Quantidade de graduados de 2012 por curso e período,,,
Curso \ Período,2012.1,2012.2,Total curso
11104120 - DESIGN - D,8,7,15
11105150 - FÍSICA (BAC) - D,5,2,7
11107110 - MATEMÁTICA (LIC) - D,4,3,7
11107150 - MATEMÁTICA (BAC) - D,1,0,1
11107210 - MATEMÁTICA (LIC) - N,8,5,13
11124100 - ENGENHARIA MECÂNICA - D,16,19,35
11126100 - ENGENHARIA DE MATERIAIS - D,16,6,22
11128100 - ENGENHARIA QUÍMICA - D,6,7,13
11133100 - ENGENHARIA DE PRODUÇÃO - D,7,12,19
12205100 - MEDICINA,42,36,78
13301100 - ADMINISTRAÇÃO - D,24,31,55
13301200 - ADMINISTRAÇÃO - N,8,10,18
13304100 - CIÊNCIAS ECONÔMICAS - M,8,9,17
13304200 - CIÊNCIAS ECONÔMICAS - N,4,2,6
13305110 - CIÊNCIAS SOCIAIS (LIC) - D,0,8,8
13305150 - CIÊNCIAS SOCIAIS (BAC) - D,2,5,7
13305210 - CIÊNCIAS SOCIAIS (LIC) - N,10,1,11
13305250 - CIÊNCIAS SOCIAIS (BAC) - N,1,3,4
13309110 - HISTÓRIA (LIC) - D,3,5,8
13309150 - HISTÓRIA (BAC) - M,1,3,4
13309210 - HISTÓRIA (LIC) - N,8,13,21
13309250 - HISTÓRIA (BAC) - N,2,2,4
13310111 - LETRAS - LÍNGUA E LIT. PORTUGUESA - D,7,6,13
13310112 - LETRAS - LÍNGUA E LIT. FRANCESA - D,1,0,1
13310113 - LETRAS - LÍNGUA E LIT. INGLESA - D,1,4,5
13310211 - LETRAS - LÍNGUA E LIT. PORTUGUESA - N,12,13,25
13310213 - LETRAS - LÍNGUA E LIT. INGLESA - N,0,2,2
13312110 - PEDAGOGIA (LIC) - M,15,0,15
13314250 - FILOSOFIA (BAC) - N,0,2,2
13317100 - ARTE E MÍDIA - D,8,6,14
14102100 - CIÊNCIA DA COMPUTAÇÃO - D,35,27,62
14123110 - ENGENHARIA ELÉTRICA (ELETRÔNICA) - D,3,1,4
14123111 - ENGENHARIA ELÉTRICA (ELETROTÉCNICA) - D,19,21,40
14123112 - ENGENHARIA ELÉTRICA (TELECOMUNICAÇÕES) -,2,1,3
14123113 - ENGENHARIA ELÉTRICA(CONTROLE E AUTOMAÇÃO,15,6,21
14123116 - ENGENHARIA ELÉTRICA(ELETROTÉ/CONT AUTOM),0,1,1
15108100 - METEOROLOGIA - D,2,4,6
15121100 - ENGENHARIA AGRÍCOLA - D,3,5,8
15122100 - ENGENHARIA CIVIL - D,16,19,35
15127100 - ENGENHARIA DE MINAS - D,7,6,13
21103112 - CIÊNCIAS - MATEMÁTICA (LIC) - M,6,6,12
21103113 - CIÊNCIAS - BIOLOGIA (LIC) - M,6,4,10
21103115 - CIÊNCIAS - QUÍMICA (LIC) - M,4,3,7
21103212 - CIÊNCIAS - MATEMÁTICA (LIC) - N,10,5,15
21103213 - CIÊNCIAS - BIOLOGIA (LIC) - N,5,0,5
21204100 - ENFERMAGEM - D,26,32,58
21309110 - HISTÓRIA (LIC) - M,6,6,12
21309210 - HISTÓRIA (LIC) - N,3,6,9
21310111 - LETRAS - LÍNGUA VERNÁCULA (LIC) - M,3,17,20
21310112 - LETRAS - LÍNG.VERNÁCULA/ING. (LIC) - M,1,12,13
Curso \ Período,2012.1,2012.2,Total curso
21310211 - LETRAS - LÍNGUA VERNÁCULA (LIC) - N,16,4,20
21310212 - LETRAS - LÍNG.VERNÁCULA/ING. (LIC) - N,7,2,9
21312110 - PEDAGOGIA (LICENCIATURA) - M,24,6,30
21312210 - PEDAGOGIA (LICENCIATURA) - N,10,13,23
21316110 - GEOGRAFIA (LICENCIATURA) - M,12,10,22
21316210 - GEOGRAFIA (LICENCIATURA) - N,0,5,5
31350100 - DIREITO - M,4,53,57
31350200 - DIREITO - N,35,3,38
31350300 - DIREITO - V,3,44,47
31360200 - CIÊNCIAS CONTÁBEIS - N,7,35,42
41201210 - CIÊNCIAS BIOLÓGICAS (LIC) - N,16,3,19
41403100 - ENGENHARIA FLORESTAL - D,10,9,19
41410100 - MEDICINA VETERINÁRIA - D,18,34,52
51105110 - FÍSICA (LIC) - D,1,2,3
51105210 - FÍSICA (LIC) - N,1,2,3
51107110 - MATEMÁTICA (LIC) - D,0,3,3
51109110 - QUÍMICA (LIC) - D,9,0,9
51109210 - QUÍMICA (LIC) - N,4,0,4
51201110 - CIÊNCIAS BIOLÓGICAS (LIC) - D,4,12,16
51201210 - CIÊNCIAS BIOLÓGICAS (LIC) - N,4,10,14
51203100 - FARMÁCIA - D,17,13,30
51204100 - ENFERMAGEM - D,18,21,39
71318200 - TECNOLOGIA EM GESTÃO PÚBLICA - N,0,21,21
91125100 - ENGENHARIA DE ALIMENTOS - D,12,10,22
91130100 - ENGENHARIA AMBIENTAL - D,9,13,22
91402100 - AGRONOMIA - D,15,13,28
Total período,656,745,1401
