Ano;Cód.Área;Área de Enquadramento;Cód.IES;Nome da IES;Sigla da IES;Categ. Administrativa;Org. Acadêmica;Cód. Município;Município do Curso;UF do Curso;Região do Curso;Nr. Cursos da Unidade;Cód. Cursos da Unidade;Conluintes Inscritos;Concluintes Participantes;Nota Bruta - FG;Nota Padronizada - FG;Nota Bruta - CE;Nota Padronizada - CE;Nota Contínua do Enade;Conceito Enade;Obs:
2013;5;MEDICINA VETERINÁRIA;1;UNIVERSIDADE FEDERAL DE MATO GROSSO;UFMT;Pública Federal;Universidade;5103403;CUIABA;MT;CENTRO-OESTE;1;37;73;67;53,9239;3,8971;51,6612;4,1147;4,0603;5;
2013;5;MEDICINA VETERINÁRIA;1;UNIVERSIDADE FEDERAL DE MATO GROSSO;UFMT;Pública Federal;Universidade;5107909;SINOP;MT;CENTRO-OESTE;1;100763;89;85;47,2435;2,5111;46,3918;3,1939;3,0232;4;
2013;5;MEDICINA VETERINÁRIA;2;UNIVERSIDADE DE BRASÍLIA;UNB;Pública Federal;Universidade;5300108;BRASILIA;DF;CENTRO-OESTE;1;18031;49;46;47,7870;2,6238;51,5391;4,0934;3,7260;4;
2013;5;MEDICINA VETERINÁRIA;5;UNIVERSIDADE FEDERAL DO PIAUÍ;UFPI;Pública Federal;Universidade;2201903;BOM JESUS;PI;NORDESTE;1;102675;76;74;50,9176;3,2734;40,6311;2,1872;2,4588;3;
2013;5;MEDICINA VETERINÁRIA;5;UNIVERSIDADE FEDERAL DO PIAUÍ;UFPI;Pública Federal;Universidade;2211001;TERESINA;PI;NORDESTE;1;504;63;62;54,8161;4,0822;46,1645;3,1542;3,3862;4;
2013;5;MEDICINA VETERINÁRIA;8;UNIVERSIDADE FEDERAL DE VIÇOSA;UFV;Pública Federal;Universidade;3171303;VICOSA;MG;SUDESTE;1;695;101;98;52,7602;3,6556;53,1684;4,3781;4,1975;5;
2013;5;MEDICINA VETERINÁRIA;9;UNIVERSIDADE ESTADUAL DE LONDRINA;UEL;Pública Estadual;Universidade;4113700;LONDRINA;PR;SUL;1;777;91;91;55,3154;4,1858;49,8802;3,8035;3,8990;4;
2013;5;MEDICINA VETERINÁRIA;10;PONTIFÍCIA UNIVERSIDADE CATÓLICA DO PARANÁ;PUCPR;Privada sem fins lucrativos;Universidade;4125506;SAO JOSE DO PINHAIS;PR;SUL;1;888;55;48;47,5167;2,5678;44,8021;2,9161;2,8290;3;
2013;5;MEDICINA VETERINÁRIA;10;PONTIFÍCIA UNIVERSIDADE CATÓLICA DO PARANÁ;PUCPR;Privada sem fins lucrativos;Universidade;4127700;TOLEDO;PR;SUL;1;60123;28;28;46,6536;2,3887;43,3857;2,6686;2,5986;3;
2013;5;MEDICINA VETERINÁRIA;17;UNIVERSIDADE FEDERAL DE UBERLÂNDIA;UFU;Pública Federal;Universidade;3170206;UBERLANDIA;MG;SUDESTE;1;1440;80;76;55,3579;4,1946;49,8632;3,8005;3,8990;4;
