Ano;Código da IES;Nome da IES;Sigla da IES;Organização Acadêmica;Categoria Administrativa;Código do Curso;Código da Área;Área de Enquadramento;Modalidade de Ensino;Código do Município;Município do Curso;Sigla da UF;Concluintes Inscritos;Concluintes Participantes;Concluintes Participantes com nota no Enem;Percentual de Concluintes participantes com nota no Enem;Nota Bruta - IDD;Nota Padronizada - IDD;IDD (Faixa)
2016;1;UNIVERSIDADE FEDERAL DE MATO GROSSO;UFMT;Universidade;Pessoa Jurídica de Direito Público - Federal;7;38;SERVIÇO SOCIAL;Educação Presencial;5103403;CUIABÁ;MT;34;32;32;1,0000;-1,3751;2,0024;3
2016;1;UNIVERSIDADE FEDERAL DE MATO GROSSO;UFMT;Universidade;Pessoa Jurídica de Direito Público - Federal;9;17;AGRONOMIA;Educação Presencial;5103403;CUIABÁ;MT;54;52;44;0,8462;-0,2610;2,6986;3
2016;1;UNIVERSIDADE FEDERAL DE MATO GROSSO;UFMT;Universidade;Pessoa Jurídica de Direito Público - Federal;12;12;MEDICINA;Educação Presencial;5103403;CUIABÁ;MT;35;33;31;0,9394;-3,4093;0,0000;1
2016;1;UNIVERSIDADE FEDERAL DE MATO GROSSO;UFMT;Universidade;Pessoa Jurídica de Direito Público - Federal;17;23;ENFERMAGEM;Educação Presencial;5103403;CUIABÁ;MT;29;28;27;0,9643;-0,1876;2,4153;3
2016;1;UNIVERSIDADE FEDERAL DE MATO GROSSO;UFMT;Universidade;Pessoa Jurídica de Direito Público - Federal;20;28;NUTRIÇÃO;Educação Presencial;5103403;CUIABÁ;MT;19;18;18;1,0000;0,3282;2,5919;3
2016;1;UNIVERSIDADE FEDERAL DE MATO GROSSO;UFMT;Universidade;Pessoa Jurídica de Direito Público - Federal;37;5;MEDICINA VETERINÁRIA;Educação Presencial;5103403;CUIABÁ;MT;29;29;27;0,9310;-0,8728;1,9397;2
2016;2;UNIVERSIDADE DE BRASÍLIA;UNB;Universidade;Pessoa Jurídica de Direito Público - Federal;126;38;SERVIÇO SOCIAL;Educação Presencial;5300108;BRASÍLIA;DF;79;63;54;0,8571;0,3152;2,7912;3
2016;2;UNIVERSIDADE DE BRASÍLIA;UNB;Universidade;Pessoa Jurídica de Direito Público - Federal;135;17;AGRONOMIA;Educação Presencial;5300108;BRASÍLIA;DF;113;86;60;0,6977;1,1513;3,5517;4
2016;2;UNIVERSIDADE DE BRASÍLIA;UNB;Universidade;Pessoa Jurídica de Direito Público - Federal;140;12;MEDICINA;Educação Presencial;5300108;BRASÍLIA;DF;89;85;66;0,7765;-0,0997;2,8169;3
2016;2;UNIVERSIDADE DE BRASÍLIA;UNB;Universidade;Pessoa Jurídica de Direito Público - Federal;141;6;ODONTOLOGIA;Educação Presencial;5300108;BRASÍLIA;DF;54;54;46;0,8519;0,8354;3,3520;4
2016;2;UNIVERSIDADE DE BRASÍLIA;UNB;Universidade;Pessoa Jurídica de Direito Público - Federal;143;23;ENFERMAGEM;Educação Presencial;5300108;BRASÍLIA;DF;55;51;38;0,7451;0,1672;2,5823;3
2016;2;UNIVERSIDADE DE BRASÍLIA;UNB;Universidade;Pessoa Jurídica de Direito Público - Federal;144;28;NUTRIÇÃO;Educação Presencial;5300108;BRASÍLIA;DF;60;49;35;0,7143;0,6107;2,7193;3
2016;3;UNIVERSIDADE FEDERAL DE SERGIPE;UFS;Universidade;Pessoa Jurídica de Direito Público - Federal;302;23;ENFERMAGEM;Educação Presencial;2800308;ARACAJU;SE;89;68;63;0,9265;-1,3016;1,8909;2
2016;3;UNIVERSIDADE FEDERAL DE SERGIPE;UFS;Universidade;Pessoa Jurídica de Direito Público - Federal;303;12;MEDICINA;Educação Presencial;2800308;ARACAJU;SE;53;53;39;0,7358;0,3088;3,2623;4
2016;3;UNIVERSIDADE FEDERAL DE SERGIPE;UFS;Universidade;Pessoa Jurídica de Direito Público - Federal;304;6;ODONTOLOGIA;Educação Presencial;2800308;ARACAJU;SE;46;46;38;0,8261;-0,4020;2,0476;3
