Quantidade de alunos matriculados em 2021.1 por curso e sexo.,,,
,FEMININO,MASCULINO,Total
13301100 - ADMINISTRAÇÃO - D (Campina Grande),118,89,207
13301200 - ADMINISTRAÇÃO - N (Campina Grande),51,51,102
31301200 - ADMINISTRAÇÃO - N (Sousa),75,88,163
91402100 - AGRONOMIA - D (Pombal),99,136,235
15101100 - ARQUITETURA E URBANISMO - D (Campina Grande),101,58,159
13317100 - ARTE E MÍDIA - D (Campina Grande),47,41,88
14102100 - CIÊNCIA DA COMPUTAÇÃO - D (Campina Grande),120,570,690
41201110 - CIÊNCIAS BIOLÓGICAS (LIC) - D (Patos),81,46,127
51201110 - CIÊNCIAS BIOLÓGICAS (LIC) - D (Cuité),61,34,95
21201110 - CIÊNCIAS BIOLÓGICAS (LIC) - M (Cajazeiras),80,42,122
41201210 - CIÊNCIAS BIOLÓGICAS (LIC) - N (Patos),88,40,128
51201210 - CIÊNCIAS BIOLÓGICAS (LIC) - N (Cuité),68,56,124
31360200 - CIÊNCIAS CONTÁBEIS - N (Sousa),95,115,210
13304100 - CIÊNCIAS ECONÔMICAS - M (Campina Grande),33,77,110
13304200 - CIÊNCIAS ECONÔMICAS - N (Campina Grande),27,41,68
13305150 - CIÊNCIAS SOCIAIS (BAC) - D (Campina Grande),34,19,53
13305210 - CIÊNCIAS SOCIAIS (LIC) - N (Campina Grande),50,25,75
71305210 - CIÊNCIAS SOCIAIS (LIC) - N (Sumé),75,32,107
13306100 - COMUNICAÇÃO SOCIAL - D (Campina Grande),51,22,73
13306200 - COMUNICAÇÃO SOCIAL - N (Campina Grande),37,37,74
11104120 - DESIGN - D (Campina Grande),99,60,159
31350100 - DIREITO - M (Sousa),164,116,280
31350200 - DIREITO - N (Sousa),116,144,260
31350300 - DIREITO - V (Sousa),172,132,304
12204100 - ENFERMAGEM - D (Campina Grande),143,43,186
21204100 - ENFERMAGEM - D (Cajazeiras),175,57,232
51204100 - ENFERMAGEM - D (Cuité),191,48,239
71132100 - ENG. DE BIOTECNOLOGIA E BIOPROCESSOS - D (Sumé),51,30,81
15121100 - ENGENHARIA AGRÍCOLA - D (Campina Grande),39,68,107
91130100 - ENGENHARIA AMBIENTAL - D (Pombal),73,57,130
15122100 - ENGENHARIA CIVIL - D (Campina Grande),153,268,421
91122100 - ENGENHARIA CIVIL - D (Pombal),101,228,329
15125100 - ENGENHARIA DE ALIMENTOS - D (Campina Grande),71,39,110
91125100 - ENGENHARIA DE ALIMENTOS - D (Pombal),108,47,155
71131100 - ENGENHARIA DE BIOSSISTEMAS - D (Sumé),37,46,83
11126100 - ENGENHARIA DE MATERIAIS - D (Campina Grande),65,78,143
15127100 - ENGENHARIA DE MINAS - D (Campina Grande),44,60,104
11135100 - ENGENHARIA DE PETRÓLEO - D (Campina Grande),56,62,118
11133100 - ENGENHARIA DE PRODUÇÃO - D (Campina Grande),63,86,149
71133100 - ENGENHARIA DE PRODUÇÃO - D (Sumé),60,73,133
14123100 - ENGENHARIA ELÉTRICA (Campina Grande),162,564,726
41403100 - ENGENHARIA FLORESTAL - D (Patos),45,52,97
,FEMININO,MASCULINO,Total
11124100 - ENGENHARIA MECÂNICA - D (Campina Grande),53,197,250
11128100 - ENGENHARIA QUÍMICA - D (Campina Grande),100,86,186
11134100 - ESTATÍSTICA - D (Campina Grande),18,31,49
51203100 - FARMÁCIA - D (Cuité),240,124,364
13314250 - FILOSOFIA (BAC) - N (Campina Grande),4,19,23
13314210 - FILOSOFIA (LIC) - N (Campina Grande),13,28,41
11105150 - FÍSICA (BAC) - D (Campina Grande),5,25,30
11105110 - FÍSICA (LIC) - D (Campina Grande),12,31,43
51105110 - FÍSICA (LIC) - D (Cuité),27,43,70
21105210 - FÍSICA (LIC) - N (Cajazeiras),43,76,119
