"Porcentagem de alunos matriculados abaixo do minimo em 2024.1, por curso.",,,,,,
Cód. Curso,Curso,Currículo,Cr/CH mín.,Matriculados,Abaixo mín.,%
13301100,ADMINISTRAÇÃO - D,2017,16,215,9,4.2
13301200,ADMINISTRAÇÃO - N,2017,16,115,20,17.4
31301200,ADMINISTRAÇÃO - N,2009,16,174,29,16.7
91402100,AGRONOMIA - D,2008,17,28,18,64.3
91402100,AGRONOMIA - D,2023,18,150,7,4.7
15101100,ARQUITETURA E URBANISMO - D,2010,16,58,15,25.9
15101100,ARQUITETURA E URBANISMO - D,2024,16,103,4,3.9
13317100,ARTE E MÍDIA - D,1999,14,114,9,7.9
14102100,CIÊNCIA DA COMPUTAÇÃO - D,2017,14,268,33,12.3
14102100,CIÊNCIA DA COMPUTAÇÃO - D,2023,16,509,3,0.6
41201110,CIÊNCIAS BIOLÓGICAS (LIC) - D,2010,16,112,11,9.8
51201110,CIÊNCIAS BIOLÓGICAS (LIC) - D,2008,18,117,12,10.3
21201110,CIÊNCIAS BIOLÓGICAS (LIC) - M,2011,16,136,13,9.6
41201210,CIÊNCIAS BIOLÓGICAS (LIC) - N,2006,14,1,1,100.0
41201210,CIÊNCIAS BIOLÓGICAS (LIC) - N,2010,14,125,11,8.8
51201210,CIÊNCIAS BIOLÓGICAS (LIC) - N,2008,14,128,13,10.2
31360200,CIÊNCIAS CONTÁBEIS - N,2016,16,198,51,25.8
13304100,CIÊNCIAS ECONÔMICAS - M,2009,16,8,6,75.0
13304100,CIÊNCIAS ECONÔMICAS - M,2023,16,94,3,3.2
13304200,CIÊNCIAS ECONÔMICAS - N,2009,16,7,3,42.9
13304200,CIÊNCIAS ECONÔMICAS - N,2023,16,66,5,7.6
13305150,CIÊNCIAS SOCIAIS (BAC) - D,2017,16,69,12,17.4
13305210,CIÊNCIAS SOCIAIS (LIC) - N,2018,16,65,9,13.8
71305210,CIÊNCIAS SOCIAIS (LIC) - N,2009,16,109,29,26.6
13306100,COMUNICAÇÃO SOCIAL - D,2010,15,70,11,15.7
13306200,COMUNICAÇÃO SOCIAL - N,2010,14,78,3,3.8
11104120,DESIGN - D,2013,16,204,31,15.2
31350100,DIREITO - M,2015,18,284,16,5.6
31350200,DIREITO - N,2015,18,309,31,10.0
31350300,DIREITO - V,2015,18,253,10,4.0
12204100,ENFERMAGEM - D,2009,20,224,39,17.4
21204100,ENFERMAGEM - D,2018,19,261,3,1.1
51204100,ENFERMAGEM - D,2015,18,232,5,2.2
71132100,ENG. DE BIOTECNOLOGIA E BIOPROCESSOS - D,2009,16,53,5,9.4
15121100,ENGENHARIA AGRÍCOLA - D,2021,17,116,9,7.8
91130100,ENGENHARIA AMBIENTAL - D,2009,16,31,8,25.8
91130100,ENGENHARIA AMBIENTAL - D,2024,16,47,2,4.3
15122100,ENGENHARIA CIVIL - D,2014,16,418,29,6.9
91122100,ENGENHARIA CIVIL - D,2014,16,76,25,32.9
91122100,ENGENHARIA CIVIL - D,2024,16,165,12,7.3
15125100,ENGENHARIA DE ALIMENTOS - D,2009,16,104,7,6.7
91125100,ENGENHARIA DE ALIMENTOS - D,2009,16,28,8,28.6
91125100,ENGENHARIA DE ALIMENTOS - D,2023,16,61,4,6.6
71131100,ENGENHARIA DE BIOSSISTEMAS - D,2009,16,36,2,5.6
11126100,ENGENHARIA DE MATERIAIS - D,2009,16,104,10,9.6
15127100,ENGENHARIA DE MINAS - D,2010,16,110,3,2.7
11135100,ENGENHARIA DE PETRÓLEO - D,2009,15,85,11,12.9
11133100,ENGENHARIA DE PRODUÇÃO - D,2005,15,121,7,5.8
71133100,ENGENHARIA DE PRODUÇÃO - D,2009,16,69,17,24.6
71133100,ENGENHARIA DE PRODUÇÃO - D,2024,18,14,1,7.1
14123100,ENGENHARIA ELÉTRICA,1999,15,684,61,8.9
41403100,ENGENHARIA FLORESTAL - D,2009,16,70,0,0.0
11124100,ENGENHARIA MECÂNICA - D,2016,18,241,41,17.0
11128100,ENGENHARIA QUÍMICA - D,2009,16,164,16,9.8
11134100,ESTATÍSTICA - D,2010,16,33,1,3.0
51203100,FARMÁCIA - D,2007,20,322,5,1.6
13314250,FILOSOFIA (BAC) - N,2009,16,32,3,9.4
13314210,FILOSOFIA (LIC) - N,2009,6,62,0,0.0
11105150,FÍSICA (BAC) - D,2020,14,44,2,4.5
11105110,FÍSICA (LIC) - D,2017,16,45,4,8.9
51105110,FÍSICA (LIC) - D,2019,18,55,22,40.0
21105210,FÍSICA (LIC) - N,2011,16,110,36,32.7
51105210,FÍSICA (LIC) - N,2019,14,84,22,26.2
13316110,GEOGRAFIA (LIC) - M,2009,16,1,1,100.0
13316110,GEOGRAFIA (LIC) - M,2019,16,118,3,2.5
13316210,GEOGRAFIA (LIC) - N,2009,16,4,4,100.0
13316210,GEOGRAFIA (LIC) - N,2019,16,112,7,6.2
21316110,GEOGRAFIA (LICENCIATURA) - M,2008,16,108,16,14.8
21316210,GEOGRAFIA (LICENCIATURA) - N,2008,14,141,16,11.3
13309110,HISTÓRIA (LIC) - D,1986,13,3,3,100.0
13309110,HISTÓRIA (LIC) - D,2019,16,127,9,7.1
21309110,HISTÓRIA (LIC) - M,2009,16,179,35,19.6
13309210,HISTÓRIA (LIC) - N,1986,13,1,0,0.0
13309210,HISTÓRIA (LIC) - N,2019,16,84,4,4.8
21309210,HISTÓRIA (LIC) - N,2009,16,158,43,27.2
71315110,INTERDISCIPLINAR EM EDUC. DO CAMPO(LIC)D,2009,20,92,32,34.8
13310214,LETRAS - ESPANHOL (LICENCIATURA) N,2011,12,49,9,18.4
13323110,LETRAS - LIBRAS (LIC) - D,2016,16,80,7,8.8
13310115,LETRAS - LÍNG.PORT./LÍNG.FRANC.(LIC)-D,2011,16,50,1,2.0
13310116,LETRAS - LÍNGUA INGLESA (LIC) - D,2011,15,80,15,18.8
21310116,LETRAS - LÍNGUA INGLESA (LIC) - D,2011,16,86,17,19.8
21310110,LETRAS - LÍNGUA PORTUGUESA (LIC) - M,2011,16,90,15,16.7
13310210,LETRAS - LÍNGUA PORTUGUESA (LIC) - N,2011,16,87,13,14.9
