Taxa de reprovação em um ano por curso e semestre,,,,,,
"As matrículas de um curso são as matrículas realizadas pelos alunos do curso em diciplinas de qualquer unidade acadêmica.
As matrículas incluem apenas aquelas cursadas até o final. Matrículas ainda em curso, trancadas, canceladas
ou quando o aluno abandona e é reprovado por faltas não estão incluídas.",,,,,,
,2020.1,,,2020.2,,
,Reprovações,Matrículas,%,Reprovações,Matrículas,%
13301100 - ADMINISTRAÇÃO - D,87,937,9%,59,826,7%
13301200 - ADMINISTRAÇÃO - N,64,336,19%,48,332,14%
31301200 - ADMINISTRAÇÃO - N,53,728,7%,82,657,12%
91402100 - AGRONOMIA - D,179,1150,16%,64,1081,6%
15101100 - ARQUITETURA E URBANISMO - D,16,533,3%,21,758,3%
13317100 - ARTE E MÍDIA - D,102,299,34%,39,281,14%
14102100 - CIÊNCIA DA COMPUTAÇÃO - D,176,2892,6%,120,2758,4%
41201110 - CIÊNCIAS BIOLÓGICAS (LIC) - D,68,578,12%,7,451,2%
51201110 - CIÊNCIAS BIOLÓGICAS (LIC) - D,34,442,8%,20,377,5%
21201110 - CIÊNCIAS BIOLÓGICAS (LIC) - M,61,491,12%,7,433,2%
41201210 - CIÊNCIAS BIOLÓGICAS (LIC) - N,31,429,7%,39,539,7%
51201210 - CIÊNCIAS BIOLÓGICAS (LIC) - N,71,439,16%,23,377,6%
31360200 - CIÊNCIAS CONTÁBEIS - N,80,861,9%,71,850,8%
13304100 - CIÊNCIAS ECONÔMICAS - M,60,408,15%,24,299,8%
13304200 - CIÊNCIAS ECONÔMICAS - N,34,236,14%,41,302,14%
13305150 - CIÊNCIAS SOCIAIS (BAC) - D,42,224,19%,3,126,2%
13305210 - CIÊNCIAS SOCIAIS (LIC) - N,33,242,14%,34,299,11%
71305210 - CIÊNCIAS SOCIAIS (LIC) - N,91,370,25%,113,373,30%
13306100 - COMUNICAÇÃO SOCIAL - D,44,313,14%,44,345,13%
13306200 - COMUNICAÇÃO SOCIAL - N,27,312,9%,39,350,11%
11104120 - DESIGN - D,36,422,9%,21,427,5%
31350100 - DIREITO - M,9,1784,1%,9,1565,1%
31350200 - DIREITO - N,11,1603,1%,17,1585,1%
31350300 - DIREITO - V,8,1944,0%,8,1676,0%
,2020.1,,,2020.2,,
,Reprovações,Matrículas,%,Reprovações,Matrículas,%
12204100 - ENFERMAGEM - D,59,713,8%,27,836,3%
21204100 - ENFERMAGEM - D,37,794,5%,25,1042,2%
51204100 - ENFERMAGEM - D,41,1171,4%,18,1522,1%
71132100 - ENG. DE BIOTECNOLOGIA E BIOPROCESSOS - D,111,514,22%,39,388,10%
15121100 - ENGENHARIA AGRÍCOLA - D,122,517,24%,28,360,8%
91130100 - ENGENHARIA AMBIENTAL - D,151,895,17%,49,604,8%
15122100 - ENGENHARIA CIVIL - D,186,2122,9%,107,1931,6%
91122100 - ENGENHARIA CIVIL - D,85,1714,5%,102,1662,6%
15125100 - ENGENHARIA DE ALIMENTOS - D,89,482,18%,31,397,8%
91125100 - ENGENHARIA DE ALIMENTOS - D,125,789,16%,107,701,15%
71131100 - ENGENHARIA DE BIOSSISTEMAS - D,102,498,20%,34,304,11%
11126100 - ENGENHARIA DE MATERIAIS - D,80,585,14%,42,435,10%
15127100 - ENGENHARIA DE MINAS - D,100,448,22%,28,306,9%
11135100 - ENGENHARIA DE PETRÓLEO - D,88,553,16%,43,426,10%
11133100 - ENGENHARIA DE PRODUÇÃO - D,53,610,9%,26,527,5%
71133100 - ENGENHARIA DE PRODUÇÃO - D,86,666,13%,39,511,8%
14123100 - ENGENHARIA ELÉTRICA,349,3755,9%,198,3413,6%
41403100 - ENGENHARIA FLORESTAL - D,83,517,16%,16,403,4%
11124100 - ENGENHARIA MECÂNICA - D,86,994,9%,78,988,8%
11128100 - ENGENHARIA QUÍMICA - D,91,846,11%,15,652,2%
11134100 - ESTATÍSTICA - D,45,173,26%,4,109,4%
51203100 - FARMÁCIA - D,68,1928,4%,47,2009,2%
13314250 - FILOSOFIA (BAC) - N,28,103,27%,5,50,10%
13314210 - FILOSOFIA (LIC) - N,15,131,11%,5,82,6%
11105150 - FÍSICA (BAC) - D,49,137,36%,4,70,6%
11105110 - FÍSICA (LIC) - D,28,203,14%,15,161,9%
51105110 - FÍSICA (LIC) - D,90,245,37%,34,187,18%
21105210 - FÍSICA (LIC) - N,75,345,22%,52,328,16%
,2020.1,,,2020.2,,
,Reprovações,Matrículas,%,Reprovações,Matrículas,%
51105210 - FÍSICA (LIC) - N,74,246,30%,16,191,8%
13316110 - GEOGRAFIA (LIC) - M,81,422,19%,28,377,7%
13316210 - GEOGRAFIA (LIC) - N,123,465,26%,22,368,6%
21316110 - GEOGRAFIA (LICENCIATURA) - M,39,381,10%,47,477,10%
21316210 - GEOGRAFIA (LICENCIATURA) - N,70,472,15%,18,374,5%
13309110 - HISTÓRIA (LIC) - D,52,518,10%,28,436,6%
21309110 - HISTÓRIA (LIC) - M,91,563,16%,22,416,5%
13309210 - HISTÓRIA (LIC) - N,48,358,13%,87,402,22%
21309210 - HISTÓRIA (LIC) - N,98,466,21%,66,505,13%
71315110 - INTERDISCIPLINAR EM EDUC. DO CAMPO(LIC)D,47,309,15%,37,318,12%
13310214 - LETRAS - ESPANHOL (LICENCIATURA) N,13,82,16%,1,103,1%
13323110 - LETRAS - LIBRAS (LIC) - D,39,217,18%,14,356,4%
13310115 - LETRAS - LÍNG.PORT./LÍNG.FRANC.(LIC)-D,35,228,15%,7,175,4%
13310116 - LETRAS - LÍNGUA INGLESA (LIC) - D,26,180,14%,4,147,3%
21310116 - LETRAS - LÍNGUA INGLESA (LIC) - D,34,246,14%,7,230,3%
21310110 - LETRAS - LÍNGUA PORTUGUESA (LIC) - M,31,280,11%,0,242,0%
13310210 - LETRAS - LÍNGUA PORTUGUESA (LIC) - N,28,241,12%,27,253,11%
21310210 - LETRAS - LÍNGUA PORTUGUESA (LIC) - N,63,358,18%,30,474,6%
13310110 - LETRAS- LÍNGUA PORTUGUESA (LIC) - D,57,472,12%,12,362,3%
11107150 - MATEMÁTICA (BAC) - D,12,58,21%,1,28,4%
11107110 - MATEMÁTICA (LIC) - D,24,194,12%,16,162,10%
21107110 - MATEMÁTICA (LIC) - D,76,419,18%,30,358,8%
51107110 - MATEMÁTICA (LIC) - D,48,330,15%,13,247,5%
11107210 - MATEMÁTICA (LIC) - N,90,270,33%,35,164,21%
51107210 - MATEMÁTICA (LIC) - N,46,270,17%,11,181,6%
12205100 - MEDICINA,31,1894,2%,27,2307,1%
21205100 - MEDICINA,46,485,9%,10,786,1%
41410100 - MEDICINA VETERINÁRIA - D,119,2569,5%,132,1982,7%
,2020.1,,,2020.2,,
,Reprovações,Matrículas,%,Reprovações,Matrículas,%
15108100 - METEOROLOGIA - D,72,199,36%,26,114,23%
13311150 - MÚSICA (BAC) - D,26,139,19%,9,116,8%
13311110 - MÚSICA (LIC) - D,49,341,14%,56,281,20%
51206100 - NUTRIÇÃO - D,64,1562,4%,72,1721,4%
41207100 - ODONTOLOGIA - D,58,1583,4%,41,1530,3%
13312110 - PEDAGOGIA (LIC) - M,76,450,17%,3,547,1%
13312210 - PEDAGOGIA (LIC) - N,16,277,6%,32,370,9%
21312110 - PEDAGOGIA (LICENCIATURA) - M,42,498,8%,11,574,2%
21312210 - PEDAGOGIA (LICENCIATURA) - N,24,431,6%,31,624,5%
12208100 - PSICOLOGIA - D,72,1410,5%,72,1639,4%
12208200 - PSICOLOGIA - N,11,165,7%,3,115,3%
51109110 - QUÍMICA (LIC) - D,75,355,21%,21,233,9%
21109210 - QUÍMICA (LIC) - N,73,497,15%,21,373,6%
51109210 - QUÍMICA (LIC) - N,73,300,24%,20,226,9%
31340100 - SERVIÇO SOCIAL - M,23,351,7%,6,392,2%
71420100 - TECNOLOGIA EM AGROECOLOGIA - D,164,526,31%,34,333,10%
71318200 - TECNOLOGIA EM GESTÃO PÚBLICA - N,160,458,35%,53,281,19%
