Taxa de reprovação em um ano por curso e semestre,,,,,,
"As matrículas de um curso são as matrículas realizadas pelos alunos do curso em diciplinas de qualquer unidade acadêmica.
As matrículas incluem apenas aquelas cursadas até o final. Matrículas ainda em curso, trancadas, canceladas
ou quando o aluno abandona e é reprovado por faltas não estão incluídas.",,,,,,
,2022.1,,,2022.2,,
,Reprovações,Matrículas,%,Reprovações,Matrículas,%
13301100 - ADMINISTRAÇÃO - D,169,925,18%,137,854,16%
13301200 - ADMINISTRAÇÃO - N,65,343,19%,146,523,28%
31301200 - ADMINISTRAÇÃO - N,110,848,13%,62,768,8%
91402100 - AGRONOMIA - D,201,1052,19%,144,912,16%
15101100 - ARQUITETURA E URBANISMO - D,34,722,5%,45,841,5%
13317100 - ARTE E MÍDIA - D,37,468,8%,35,621,6%
14102100 - CIÊNCIA DA COMPUTAÇÃO - D,585,3371,17%,428,3346,13%
41201110 - CIÊNCIAS BIOLÓGICAS (LIC) - D,94,626,15%,22,486,5%
51201110 - CIÊNCIAS BIOLÓGICAS (LIC) - D,45,542,8%,29,437,7%
21201110 - CIÊNCIAS BIOLÓGICAS (LIC) - M,48,545,9%,45,498,9%
41201210 - CIÊNCIAS BIOLÓGICAS (LIC) - N,56,516,11%,58,614,9%
51201210 - CIÊNCIAS BIOLÓGICAS (LIC) - N,50,489,10%,52,412,13%
31360200 - CIÊNCIAS CONTÁBEIS - N,127,895,14%,101,884,11%
13304100 - CIÊNCIAS ECONÔMICAS - M,141,517,27%,46,355,13%
13304200 - CIÊNCIAS ECONÔMICAS - N,68,289,24%,91,396,23%
13305150 - CIÊNCIAS SOCIAIS (BAC) - D,63,257,25%,26,191,14%
13305210 - CIÊNCIAS SOCIAIS (LIC) - N,51,292,17%,63,367,17%
71305210 - CIÊNCIAS SOCIAIS (LIC) - N,43,468,9%,22,399,6%
13306100 - COMUNICAÇÃO SOCIAL - D,44,317,14%,45,381,12%
13306200 - COMUNICAÇÃO SOCIAL - N,72,286,25%,43,404,11%
11104120 - DESIGN - D,70,742,9%,34,871,4%
31350100 - DIREITO - M,45,1755,3%,9,1358,1%
31350200 - DIREITO - N,66,1606,4%,40,1512,3%
31350300 - DIREITO - V,43,1611,3%,25,1311,2%
,2022.1,,,2022.2,,
,Reprovações,Matrículas,%,Reprovações,Matrículas,%
12204100 - ENFERMAGEM - D,116,1193,10%,48,1205,4%
21204100 - ENFERMAGEM - D,40,1487,3%,17,1396,1%
51204100 - ENFERMAGEM - D,79,1652,5%,44,1729,3%
71132100 - ENG. DE BIOTECNOLOGIA E BIOPROCESSOS - D,44,339,13%,32,277,12%
15121100 - ENGENHARIA AGRÍCOLA - D,198,588,34%,90,471,19%
91130100 - ENGENHARIA AMBIENTAL - D,94,496,19%,61,377,16%
15122100 - ENGENHARIA CIVIL - D,575,2214,26%,441,2160,20%
91122100 - ENGENHARIA CIVIL - D,197,1450,14%,194,1338,14%
15125100 - ENGENHARIA DE ALIMENTOS - D,209,516,41%,75,351,21%
91125100 - ENGENHARIA DE ALIMENTOS - D,137,538,25%,66,472,14%
71131100 - ENGENHARIA DE BIOSSISTEMAS - D,72,309,23%,38,239,16%
11126100 - ENGENHARIA DE MATERIAIS - D,256,639,40%,157,434,36%
15127100 - ENGENHARIA DE MINAS - D,155,451,34%,76,325,23%
11135100 - ENGENHARIA DE PETRÓLEO - D,182,477,38%,80,295,27%
11133100 - ENGENHARIA DE PRODUÇÃO - D,165,655,25%,75,511,15%
71133100 - ENGENHARIA DE PRODUÇÃO - D,68,605,11%,41,439,9%
14123100 - ENGENHARIA ELÉTRICA,963,3819,25%,918,3572,26%
41403100 - ENGENHARIA FLORESTAL - D,65,472,14%,59,372,16%
11124100 - ENGENHARIA MECÂNICA - D,363,1325,27%,294,1188,25%
11128100 - ENGENHARIA QUÍMICA - D,227,753,30%,151,535,28%
11134100 - ESTATÍSTICA - D,104,226,46%,37,140,26%
51203100 - FARMÁCIA - D,106,2237,5%,110,2168,5%
13314250 - FILOSOFIA (BAC) - N,47,132,36%,18,75,24%
13314210 - FILOSOFIA (LIC) - N,49,189,26%,24,157,15%
11105150 - FÍSICA (BAC) - D,53,165,32%,30,124,24%
11105110 - FÍSICA (LIC) - D,64,198,32%,35,127,28%
51105110 - FÍSICA (LIC) - D,39,299,13%,36,291,12%
21105210 - FÍSICA (LIC) - N,105,389,27%,34,255,13%
,2022.1,,,2022.2,,
,Reprovações,Matrículas,%,Reprovações,Matrículas,%
51105210 - FÍSICA (LIC) - N,65,365,18%,37,284,13%
13316110 - GEOGRAFIA (LIC) - M,67,496,14%,46,393,12%
13316210 - GEOGRAFIA (LIC) - N,110,561,20%,40,422,9%
21316110 - GEOGRAFIA (LICENCIATURA) - M,42,467,9%,26,519,5%
21316210 - GEOGRAFIA (LICENCIATURA) - N,32,477,7%,34,490,7%
13309110 - HISTÓRIA (LIC) - D,75,600,12%,24,458,5%
21309110 - HISTÓRIA (LIC) - M,61,654,9%,35,570,6%
13309210 - HISTÓRIA (LIC) - N,36,321,11%,44,474,9%
21309210 - HISTÓRIA (LIC) - N,72,439,16%,51,558,9%
71315110 - INTERDISCIPLINAR EM EDUC. DO CAMPO(LIC)D,66,470,14%,29,430,7%
13310214 - LETRAS - ESPANHOL (LICENCIATURA) N,21,122,17%,21,161,13%
13323110 - LETRAS - LIBRAS (LIC) - D,38,294,13%,16,251,6%
13310115 - LETRAS - LÍNG.PORT./LÍNG.FRANC.(LIC)-D,77,278,28%,20,195,10%
13310116 - LETRAS - LÍNGUA INGLESA (LIC) - D,28,299,9%,9,265,3%
21310116 - LETRAS - LÍNGUA INGLESA (LIC) - D,36,318,11%,14,273,5%
21310110 - LETRAS - LÍNGUA PORTUGUESA (LIC) - M,16,346,5%,9,322,3%
13310210 - LETRAS - LÍNGUA PORTUGUESA (LIC) - N,41,248,17%,39,297,13%
21310210 - LETRAS - LÍNGUA PORTUGUESA (LIC) - N,41,397,10%,26,490,5%
13310110 - LETRAS- LÍNGUA PORTUGUESA (LIC) - D,59,515,11%,28,443,6%
13345110 - LICENCIATURA INTERCULTURAL INDÍGENA - D,0,2,0%,0,0,0%
11107150 - MATEMÁTICA (BAC) - D,29,67,43%,16,58,28%
11107110 - MATEMÁTICA (LIC) - D,77,238,32%,54,197,27%
21107110 - MATEMÁTICA (LIC) - D,121,515,23%,107,427,25%
51107110 - MATEMÁTICA (LIC) - D,87,379,23%,49,353,14%
11107210 - MATEMÁTICA (LIC) - N,70,199,35%,24,132,18%
51107210 - MATEMÁTICA (LIC) - N,94,393,24%,36,294,12%
12205100 - MEDICINA,98,2619,4%,92,2684,3%
